string_field_0,string_field_2,string_field_3,string_field_45,string_field_30,string_field_31,string_field_32,string_field_33,string_field_34,string_field_35,string_field_36,string_field_37,string_field_38,string_field_39,string_field_40,string_field_41,string_field_42,string_field_44,string_field_43,string_field_5
South America,25-29,41435,"$20,000 - $40,000",,JavaScript,,PHP,,Ruby,SQL,,,C,,,,It pays the bills,Mac OS X,Mature Small Business (25-100)
United States of America,25-29,41435,"$40,000 - $60,000",Java,,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Mac OS X,Mid Sized (100-999)
Other Europe,25-29,11,"$40,000 - $60,000",,,,,,,,,,,,,Java,I enjoy going to work,Linux,Mid Sized (100-999)
United States of America,30-34,41435,"$60,000 - $80,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
Other Europe,30-34,11,"$80,000 - $100,000",Java,JavaScript,CSS,PHP,Python,Ruby,SQL,C#,,,,,,I enjoy going to work,Mac OS X,Start Up (1-25)
United States of America,25-29,41435,"$80,000 - $100,000",,,CSS,,,,SQL,C#,,,,,Objective c,It pays the bills,Windows XP,"Fortune 1000 (1,000+)"
United States of America,30-34,11,"$80,000 - $100,000",Java,JavaScript,CSS,,,,SQL,C#,,,,,"ActionScript3, VB.Net",I enjoy going to work,Windows XP,Mid Sized (100-999)
United States of America,25-29,41435,"$80,000 - $100,000",,,,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
United States of America,40-50,11,"$80,000 - $100,000",,,,,,,SQL,,,,,,,It pays the bills,Windows XP,"Fortune 1000 (1,000+)"
United States of America,25-29,41310,"$100,000 - $120,000",Java,JavaScript,CSS,,,,SQL,C#,,,,,Objective-C,So happy it hurts,Windows 7,Mature Small Business (25-100)
Other Asia,20-24,41310,,,,,,,,,,,,,,,,,Start Up (1-25)
Germany,30-34,11,,Java,JavaScript,CSS,,,,SQL,,,,,,"Groovy, Grails",,Linux,Start Up (1-25)
United States of America,30-34,11,,,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
Other Europe,20-24,41310,"<$20,000",,,CSS,PHP,,,,,,,,,,I enjoy going to work,Linux,Start Up (1-25)
India,25-29,41310,"<$20,000",Java,,,,,,SQL,,,,,,,It pays the bills,Windows 7,Mid Sized (100-999)
Canada,25-29,11,">$140,000",,,,,,,,C#,,,,,,It pays the bills,Windows 7,Mature Small Business (25-100)
United States of America,25-29,41435,"$20,000 - $40,000",,JavaScript,CSS,,,,SQL,C#,,,,,,So happy it hurts,Windows XP,Start Up (1-25)
Middle East,20-24,41310,"$20,000 - $40,000",,JavaScript,CSS,PHP,Python,,,,,,,,,It pays the bills,Linux,Mature Small Business (25-100)
Canada,25-29,<2,"$40,000 - $60,000",Java,,CSS,,,,,C#,C++,C,,,,It pays the bills,Linux,"Other (not working, consultant, etc.)"
Canada,35-39,11,"$40,000 - $60,000",,JavaScript,CSS,PHP,,,SQL,,C++,C,,,,I enjoy going to work,Windows 7,Start Up (1-25)
Canada,30-34,11,"$60,000 - $80,000",Java,JavaScript,CSS,,,Ruby,SQL,C#,,C,,,,It pays the bills,Windows 7,Mature Small Business (25-100)
United States of America,20-24,41435,"$60,000 - $80,000",,JavaScript,CSS,,Python,,SQL,,,,,,,I enjoy going to work,Mac OS X,Mature Small Business (25-100)
United States of America,30-34,11,"$60,000 - $80,000",Java,JavaScript,CSS,PHP,Python,,SQL,,C++,C,Perl,,Objective-C,I enjoy going to work,Mac OS X,"Fortune 1000 (1,000+)"
United States of America,30-34,41435,"$60,000 - $80,000",Java,JavaScript,CSS,PHP,,Ruby,,,,,,,,I enjoy going to work,Mac OS X,"Fortune 1000 (1,000+)"
United States of America,30-34,41435,"$60,000 - $80,000",,,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows XP,Start Up (1-25)
Other Europe,20-24,41435,"$60,000 - $80,000",,JavaScript,CSS,,,Ruby,SQL,,,,,,,I enjoy going to work,Mac OS X,Start Up (1-25)
United States of America,25-29,41435,"$60,000 - $80,000",,,,,,,SQL,C#,,,,,,It pays the bills,Windows 7,"Fortune 1000 (1,000+)"
United States of America,35-39,11,"$60,000 - $80,000",Java,,CSS,,,,,,,,,,,It pays the bills,Windows XP,"Fortune 1000 (1,000+)"
United States of America,20-24,41310,"$80,000 - $100,000",,JavaScript,CSS,,,Ruby,SQL,C#,C++,,,,VB.NET!,I enjoy going to work,Windows 7,Mature Small Business (25-100)
Germany,25-29,41310,"$80,000 - $100,000",Java,JavaScript,CSS,PHP,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,"Other (not working, consultant, etc.)"
United States of America,< 20,41310,Student / Unemployed,,,CSS,PHP,,,,,,,,,jquery,I enjoy going to work,Windows Vista,Student
Other Europe,25-29,41310,"<$20,000",Java,JavaScript,CSS,,,,,,,,,,,It pays the bills,Windows XP,Mid Sized (100-999)
Other Europe,30-34,11,"<$20,000",,JavaScript,,,,,SQL,C#,,,,,,I enjoy going to work,Windows XP,Mid Sized (100-999)
France,20-24,41310,"$20,000 - $40,000",Java,,,,,,SQL,C#,,,,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
United Kingdom,< 20,41310,"$40,000 - $60,000",,JavaScript,CSS,PHP,Python,,SQL,,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
Italy,40-50,11,"$40,000 - $60,000",,,,,,,SQL,,,,,,,I enjoy going to work,Mac OS X,Start Up (1-25)
United Kingdom,35-39,11,"$40,000 - $60,000",,JavaScript,,PHP,Python,,SQL,C#,,,,,,I enjoy going to work,Windows Vista,"Fortune 1000 (1,000+)"
France,35-39,11,"$40,000 - $60,000",,JavaScript,,,,,,,,,,,Java,It pays the bills,Windows XP,Mature Small Business (25-100)
Australia,30-34,41435,"$60,000 - $80,000",,JavaScript,CSS,,,,SQL,C#,,,,,,It pays the bills,Windows 7,Mature Small Business (25-100)
United States of America,25-29,41435,"$60,000 - $80,000",,JavaScript,,,,,,C#,C++,C,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
United States of America,25-29,41435,"$60,000 - $80,000",Java,JavaScript,,PHP,,Ruby,SQL,,,,,,,It pays the bills,Windows XP,Mature Small Business (25-100)
United States of America,30-34,41310,"$80,000 - $100,000",,JavaScript,CSS,PHP,,,SQL,C#,,,,,ActionScript 3.0,I enjoy going to work,Windows 7,Mature Small Business (25-100)
United States of America,35-39,11,"$80,000 - $100,000",,JavaScript,CSS,,,,SQL,C#,,,,,,So happy it hurts,Windows Vista,Mature Small Business (25-100)
United Kingdom,20-24,41310,,,JavaScript,CSS,PHP,Python,Ruby,SQL,,,,,,Haskell,I enjoy going to work,Mac OS X,Student
United States of America,35-39,11,,,JavaScript,CSS,,,Ruby,SQL,C#,,,,,VB (why the fuck was this not a choice? C# snobs?),FML,Windows 7,Start Up (1-25)
Other Europe,20-24,41310,"<$20,000",Java,JavaScript,CSS,PHP,,Ruby,,,,,,,,I enjoy going to work,Linux,Start Up (1-25)
Germany,20-24,41310,"$20,000 - $40,000",,,CSS,PHP,Python,Ruby,SQL,,,C,,,lisp,I enjoy going to work,Linux,Start Up (1-25)
Canada,30-34,11,"$40,000 - $60,000",Java,JavaScript,CSS,PHP,,Ruby,SQL,C#,,,Perl,,,So happy it hurts,Mac OS X,Mid Sized (100-999)
United States of America,25-29,41435,"$40,000 - $60,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
United Kingdom,20-24,41435,"$40,000 - $60,000",,JavaScript,CSS,PHP,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
United States of America,25-29,41435,"$60,000 - $80,000",,JavaScript,,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
United States of America,25-29,41310,"$60,000 - $80,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
United States of America,35-39,11,"$60,000 - $80,000",,JavaScript,CSS,,,,SQL,C#,,,Perl,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
United States of America,30-34,41435,"$60,000 - $80,000",,JavaScript,CSS,,Python,,SQL,,C++,,,,,It pays the bills,Linux,Mid Sized (100-999)
United Kingdom,25-29,41435,"$60,000 - $80,000",,JavaScript,CSS,PHP,Python,,SQL,,,,,,,I enjoy going to work,Linux,Start Up (1-25)
Australia,25-29,41435,"$80,000 - $100,000",,JavaScript,CSS,,,,,C#,,,,,HTML,It pays the bills,Windows 7,Mid Sized (100-999)
United States of America,25-29,41310,"$80,000 - $100,000",,JavaScript,CSS,PHP,,,SQL,C#,C++,C,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
United States of America,20-24,41435,"$80,000 - $100,000",Java,JavaScript,CSS,PHP,Python,Ruby,SQL,,,,Perl,,,So happy it hurts,Linux,Start Up (1-25)
United States of America,25-29,41435,"$80,000 - $100,000",,JavaScript,CSS,,,Ruby,SQL,,,,,,,It pays the bills,Mac OS X,Mature Small Business (25-100)
United States of America,30-34,41435,"$100,000 - $120,000",,JavaScript,CSS,PHP,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
United States of America,40-50,11,"$100,000 - $120,000",,,,,,,SQL,C#,,,,,,It pays the bills,Windows 7,Mature Small Business (25-100)
United States of America,25-29,41435,,,,,,,,,,,,,,,,,Mid Sized (100-999)
Other Europe,25-29,11,"$20,000 - $40,000",Java,,CSS,PHP,,,SQL,,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
Other Europe,25-29,41435,"$20,000 - $40,000",Java,JavaScript,CSS,PHP,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
United Kingdom,30-34,11,"$20,000 - $40,000",,JavaScript,CSS,PHP,,,SQL,C#,,,,,,I enjoy going to work,Windows XP,Start Up (1-25)
United Kingdom,35-39,41435,"$40,000 - $60,000",,JavaScript,CSS,,,,SQL,C#,,,,,,It pays the bills,Windows XP,Mid Sized (100-999)
United States of America,25-29,41435,"$40,000 - $60,000",,JavaScript,CSS,PHP,,,SQL,C#,,,,,,It pays the bills,Windows 7,Mature Small Business (25-100)
United States of America,25-29,41435,"$40,000 - $60,000",,,CSS,PHP,,,SQL,,,,,,Objective-C,It pays the bills,Mac OS X,Start Up (1-25)
United States of America,40-50,11,"$60,000 - $80,000",,JavaScript,CSS,PHP,,,SQL,,,,Perl,,,I enjoy going to work,Windows XP,Mature Small Business (25-100)
United States of America,30-34,11,"$60,000 - $80,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
United States of America,30-34,11,"$60,000 - $80,000",,,,,,,SQL,C#,C++,C,,,,I'm not happy in my job,Windows 7,Mature Small Business (25-100)
Other Europe,40-50,11,"$80,000 - $100,000",,JavaScript,CSS,,,,SQL,C#,,,,,,It pays the bills,Windows 7,Start Up (1-25)
United States of America,40-50,11,"$100,000 - $120,000",Java,JavaScript,,,,,SQL,,C++,,Perl,,,It pays the bills,Mac OS X,Mature Small Business (25-100)
United States of America,30-34,11,"$120,000 - $140,000",,JavaScript,CSS,,,Ruby,,C#,,,,,,It pays the bills,Windows 7,Start Up (1-25)
United States of America,30-34,11,"$120,000 - $140,000",Java,JavaScript,CSS,PHP,,,SQL,,,,,,,It pays the bills,Mac OS X,Start Up (1-25)
United Kingdom,30-34,11,"$120,000 - $140,000",Java,JavaScript,CSS,,Python,Ruby,SQL,,,,,,,I'm not happy in my job,Mac OS X,"Fortune 1000 (1,000+)"
South America,< 20,<2,Student / Unemployed,,JavaScript,CSS,,,Ruby,,,C++,,,,Groovy,I enjoy going to work,Mac OS X,Student
Other Europe,25-29,41435,,,JavaScript,CSS,,,,SQL,C#,,,,,"Java, ActionScript",I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
Other Europe,25-29,41435,"<$20,000",,JavaScript,CSS,PHP,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
United Kingdom,25-29,41310,"$40,000 - $60,000",,,,,,,SQL,C#,,,,,,It pays the bills,Windows 7,Mature Small Business (25-100)
Other Europe,25-29,41435,"$40,000 - $60,000",,JavaScript,CSS,PHP,,,SQL,,,,,,,It pays the bills,Linux,Start Up (1-25)
United Kingdom,25-29,41435,"$40,000 - $60,000",,JavaScript,CSS,PHP,,,,C#,,,,,,It pays the bills,Windows 7,Start Up (1-25)
United States of America,35-39,11,"$60,000 - $80,000",,JavaScript,CSS,PHP,Python,Ruby,SQL,C#,,,Perl,,,I enjoy going to work,Linux,"Other (not working, consultant, etc.)"
United States of America,25-29,41435,"$60,000 - $80,000",,JavaScript,CSS,PHP,,,SQL,,,,,,,I enjoy going to work,Mac OS X,Mature Small Business (25-100)
United Kingdom,40-50,11,"$100,000 - $120,000",Java,JavaScript,CSS,,,,SQL,,,,,,,I'm not happy in my job,Linux,Start Up (1-25)
India,25-29,41310,"<$20,000",,JavaScript,,,,,,C#,,,,,,I enjoy going to work,Windows Vista,Start Up (1-25)
United States of America,20-24,41310,"$40,000 - $60,000",,JavaScript,CSS,PHP,,Ruby,,,,,,,Objective-C (OSX),It pays the bills,Mac OS X,Start Up (1-25)
France,30-34,41435,"$40,000 - $60,000",,,CSS,,Python,,SQL,C#,,,,,,I enjoy going to work,Windows Vista,Start Up (1-25)
United States of America,25-29,41310,"$40,000 - $60,000",,JavaScript,CSS,PHP,,,SQL,,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
United Kingdom,30-34,11,"$40,000 - $60,000",Java,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
United States of America,20-24,41435,"$40,000 - $60,000",,JavaScript,CSS,PHP,,,SQL,C#,,,,,VB,It pays the bills,Windows 7,Mature Small Business (25-100)
United States of America,25-29,41310,"$40,000 - $60,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
Other Europe,30-34,11,"$40,000 - $60,000",,,,PHP,Python,,SQL,,,,,,,I enjoy going to work,Linux,Start Up (1-25)
United States of America,25-29,41310,"$60,000 - $80,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
United States of America,30-34,11,"$60,000 - $80,000",,JavaScript,CSS,,,,SQL,C#,,,Perl,,,It pays the bills,Windows 7,Mid Sized (100-999)
Australia,25-29,41310,"$60,000 - $80,000",,JavaScript,CSS,PHP,Python,,SQL,C#,,,,,,So happy it hurts,Mac OS X,Start Up (1-25)
United States of America,25-29,11,"$80,000 - $100,000",,JavaScript,CSS,PHP,,,SQL,,,,,,bash,I enjoy going to work,Linux,Mature Small Business (25-100)
United States of America,25-29,41435,"$80,000 - $100,000",Java,JavaScript,,,,,,C#,,,,,,It pays the bills,Windows 7,Start Up (1-25)
United States of America,35-39,11,"$80,000 - $100,000",Java,JavaScript,CSS,,,Ruby,SQL,,C++,C,Perl,,,I enjoy going to work,Mac OS X,Start Up (1-25)
United States of America,30-34,11,"$100,000 - $120,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
United States of America,30-34,11,"$100,000 - $120,000",Java,JavaScript,CSS,,,,SQL,C#,,,,,,It pays the bills,Windows XP,"Fortune 1000 (1,000+)"
United States of America,< 20,41310,Student / Unemployed,,,CSS,PHP,,Ruby,,,,,,,,I enjoy going to work,Mac OS X,Start Up (1-25)
Middle East,20-24,41310,"<$20,000",,JavaScript,CSS,PHP,,,SQL,,,,,,,It pays the bills,Linux,Mature Small Business (25-100)
United States of America,20-24,41310,"$20,000 - $40,000",,JavaScript,CSS,PHP,,,SQL,,,,,,,So happy it hurts,Mac OS X,Start Up (1-25)
Russia,25-29,41435,"$20,000 - $40,000",,JavaScript,CSS,,,,,C#,,,,,,It pays the bills,Windows 7,Mid Sized (100-999)
France,25-29,41310,"$40,000 - $60,000",Java,JavaScript,CSS,,,,,,,,,,scala,I enjoy going to work,Linux,"Fortune 1000 (1,000+)"
Other Europe,25-29,41310,"$40,000 - $60,000",Java,JavaScript,CSS,,Python,,SQL,,,,Perl,,Haskell,It pays the bills,Linux,Mid Sized (100-999)
United States of America,25-29,41310,"$40,000 - $60,000",,JavaScript,CSS,PHP,,,SQL,,,,,,,It pays the bills,Windows 7,Mature Small Business (25-100)
Germany,30-34,41435,"$40,000 - $60,000",,JavaScript,CSS,PHP,,Ruby,SQL,C#,C++,,,,,It pays the bills,Linux,Mature Small Business (25-100)
United States of America,25-29,41435,"$60,000 - $80,000",Java,,,,,,,C#,,,,,,It pays the bills,Windows 7,Mid Sized (100-999)
United States of America,30-34,41435,"$60,000 - $80,000",,JavaScript,CSS,,,,,,,,,,ColdFusion,It pays the bills,Windows 7,Mature Small Business (25-100)
United Kingdom,25-29,41435,"$60,000 - $80,000",,JavaScript,CSS,,,,SQL,C#,,,,,"XML, ActionScript",It pays the bills,Windows 7,Mature Small Business (25-100)
United States of America,30-34,11,"$100,000 - $120,000",Java,JavaScript,CSS,,,,SQL,,,,,,Groovy,It pays the bills,Mac OS X,Mature Small Business (25-100)
Other Europe,25-29,41310,"<$20,000",,,,PHP,,,,,,,,,,It pays the bills,Windows Vista,Start Up (1-25)
North America (Other),25-29,41435,"$20,000 - $40,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
United Kingdom,20-24,41310,"$20,000 - $40,000",,JavaScript,CSS,,,,SQL,,,,,,VB.NET,It pays the bills,Windows 7,"Fortune 1000 (1,000+)"
Other Europe,20-24,41310,"$20,000 - $40,000",Java,JavaScript,CSS,,,,SQL,C#,,,,,anything,It pays the bills,Windows 7,Start Up (1-25)
United Kingdom,25-29,41310,"$40,000 - $60,000",,JavaScript,CSS,PHP,,,SQL,,,,,,,I enjoy going to work,Mac OS X,Start Up (1-25)
United States of America,25-29,41310,"$40,000 - $60,000",Java,,CSS,PHP,,,SQL,C#,,,,,,It pays the bills,Windows XP,Mid Sized (100-999)
United States of America,25-29,11,"$60,000 - $80,000",,JavaScript,CSS,,,,SQL,C#,,,,,VB,I enjoy going to work,Windows 7,Start Up (1-25)
United States of America,40-50,11,"$60,000 - $80,000",,JavaScript,CSS,,,,,C#,,,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
United Kingdom,40-50,11,"$60,000 - $80,000",,,,,,,SQL,C#,,,Perl,,vb,I'm not happy in my job,Windows 7,"Fortune 1000 (1,000+)"
United States of America,20-24,<2,"$60,000 - $80,000",,JavaScript,CSS,,,,,,,,,,Java,I'm not happy in my job,Windows Vista,Start Up (1-25)
United States of America,25-29,11,"$80,000 - $100,000",,JavaScript,CSS,,,,SQL,C#,,,,,Visual Basic .NET,FML,Windows 7,"Fortune 1000 (1,000+)"
Canada,30-34,11,"$100,000 - $120,000",Java,JavaScript,CSS,,,Ruby,SQL,C#,,,,,,It pays the bills,Mac OS X,Start Up (1-25)
United States of America,40-50,11,"$100,000 - $120,000",Java,JavaScript,CSS,,,,SQL,,C++,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
Australia,35-39,11,,,JavaScript,,,,,SQL,C#,,,,,,So happy it hurts,Windows 7,Start Up (1-25)
France,25-29,41435,,,JavaScript,,,,,,C#,,,,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
Canada,25-29,41310,,,JavaScript,CSS,PHP,,,,,,,,,,,Windows 7,"Other (not working, consultant, etc.)"
Other Europe,25-29,41435,"<$20,000",,JavaScript,CSS,PHP,,Ruby,SQL,,,,,,,I enjoy going to work,Linux,Start Up (1-25)
Germany,25-29,41435,">$140,000",Java,,,PHP,Python,Ruby,,,,C,,,,So happy it hurts,Linux,"Other (not working, consultant, etc.)"
United States of America,20-24,41435,"$40,000 - $60,000",,JavaScript,CSS,PHP,Python,,SQL,,,,,,ASP Classic,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
United States of America,30-34,41435,"$40,000 - $60,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
United Kingdom,30-34,11,"$40,000 - $60,000",Java,JavaScript,,,Python,,,,C++,,,,"prolog, lua",It pays the bills,Linux,"Fortune 1000 (1,000+)"
Canada,20-24,41435,"$60,000 - $80,000",Java,JavaScript,CSS,PHP,,,SQL,,,,,,"Actionscript 3, Objective-C",I enjoy going to work,Mac OS X,Start Up (1-25)
Germany,25-29,41435,"$60,000 - $80,000",Java,JavaScript,CSS,,,,SQL,C#,,,,,,So happy it hurts,Windows 7,Mature Small Business (25-100)
United Kingdom,40-50,11,"$60,000 - $80,000",,JavaScript,,,,,SQL,C#,C++,C,Perl,,,I enjoy going to work,Windows 7,Start Up (1-25)
United States of America,35-39,41435,"$60,000 - $80,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
United States of America,25-29,41435,"$60,000 - $80,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
United States of America,25-29,41435,"$60,000 - $80,000",,JavaScript,CSS,,Python,Ruby,SQL,C#,,C,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
United States of America,25-29,11,"$80,000 - $100,000",,JavaScript,CSS,,,,SQL,C#,,,Perl,,VB,I enjoy going to work,Windows 7,Mid Sized (100-999)
United States of America,40-50,11,"$100,000 - $120,000",,,,,,,,,,,,,ColdFusion,I'm not happy in my job,Windows XP,Mid Sized (100-999)
United States of America,35-39,11,"$120,000 - $140,000",,JavaScript,CSS,PHP,,,SQL,,,C,Perl,,,I enjoy going to work,Linux,"Fortune 1000 (1,000+)"
United States of America,35-39,11,,Java,JavaScript,CSS,,Python,Ruby,SQL,C#,,C,,,,,Windows 7,Start Up (1-25)
Australasia,20-24,41310,,,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
United States of America,40-50,11,,,JavaScript,CSS,PHP,,Ruby,SQL,,,,Perl,,,I enjoy going to work,Mac OS X,"Other (not working, consultant, etc.)"
Other Asia,25-29,<2,"<$20,000",,JavaScript,CSS,,,,SQL,C#,,,,,asp.net-mvc,It pays the bills,Windows XP,Mid Sized (100-999)
Other Europe,30-34,11,"<$20,000",,JavaScript,CSS,PHP,,,SQL,,,,,,,It pays the bills,Windows 7,Start Up (1-25)
India,20-24,<2,"$20,000 - $40,000",,JavaScript,CSS,,,,,C#,,,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
South America,25-29,41435,"$20,000 - $40,000",,JavaScript,CSS,PHP,Python,Ruby,,,,,,,,I enjoy going to work,Mac OS X,Start Up (1-25)
Canada,25-29,41435,"$40,000 - $60,000",Java,JavaScript,CSS,PHP,,,SQL,,,,,,,It pays the bills,Windows XP,Start Up (1-25)
United States of America,25-29,41435,"$40,000 - $60,000",,JavaScript,CSS,PHP,,,,,,,,,,It pays the bills,Mac OS X,Mature Small Business (25-100)
Other Asia,25-29,41310,"$40,000 - $60,000",,JavaScript,CSS,,,,SQL,C#,,,,,ocaml,It pays the bills,Windows 7,"Fortune 1000 (1,000+)"
United States of America,30-34,11,"$60,000 - $80,000",,JavaScript,CSS,PHP,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
United States of America,25-29,41310,"$60,000 - $80,000",,JavaScript,CSS,,,,,C#,,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
United States of America,40-50,11,"$80,000 - $100,000",,JavaScript,CSS,,,Ruby,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
Middle East,30-34,41435,"$80,000 - $100,000",Java,JavaScript,CSS,,Python,,SQL,,,,,,,It pays the bills,Linux,Start Up (1-25)
United States of America,40-50,11,"$100,000 - $120,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
Russia,20-24,41435,,,JavaScript,CSS,PHP,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
United Kingdom,30-34,41435,">$140,000",,,,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
South America,25-29,41435,"$20,000 - $40,000",Java,JavaScript,CSS,,,Ruby,SQL,,C++,C,,,"Adobe Flex, Delphi",I enjoy going to work,Linux,Start Up (1-25)
Other Europe,30-34,11,"$20,000 - $40,000",,JavaScript,CSS,,,,SQL,C#,C++,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
Australia,20-24,41310,"$40,000 - $60,000",,JavaScript,CSS,PHP,,,SQL,,,C,,,,FML,Mac OS X,Start Up (1-25)
United States of America,25-29,11,"$40,000 - $60,000",Java,JavaScript,CSS,PHP,,,SQL,,,,Perl,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
United States of America,25-29,41435,"$60,000 - $80,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I'm not happy in my job,Windows 7,Mid Sized (100-999)
United States of America,25-29,11,"$60,000 - $80,000",,JavaScript,CSS,,Python,,SQL,C#,,,,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
United Kingdom,35-39,41435,"$60,000 - $80,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
United States of America,20-24,41435,"$60,000 - $80,000",Java,JavaScript,CSS,,,,SQL,C#,C++,C,Perl,,,It pays the bills,Windows 7,"Fortune 1000 (1,000+)"
United States of America,30-34,11,"$100,000 - $120,000",,JavaScript,CSS,,,,SQL,,,,,,vb.net,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
United States of America,35-39,11,"$100,000 - $120,000",,JavaScript,,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
United States of America,20-24,41435,,,,,,,,,,,,,,,,,Mid Sized (100-999)
Australasia,35-39,41435,,,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
Australia,40-50,41310,,,,CSS,,,,SQL,C#,,,,,VB.NET,It pays the bills,Windows Vista,Mature Small Business (25-100)
India,25-29,41310,"<$20,000",Java,JavaScript,CSS,,,,,,,,,,,It pays the bills,Windows XP,"Fortune 1000 (1,000+)"
Other Europe,25-29,41310,"<$20,000",,JavaScript,,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
Germany,30-34,11,">$140,000",Java,JavaScript,CSS,,,,SQL,,,,,,,I enjoy going to work,Windows 7,"Other (not working, consultant, etc.)"
South America,30-34,41310,"$20,000 - $40,000",,JavaScript,,,,,,C#,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
France,25-29,41310,"$40,000 - $60,000",,JavaScript,,,,,SQL,C#,,,,,,It pays the bills,Windows XP,Mid Sized (100-999)
United States of America,20-24,41310,"$40,000 - $60,000",,JavaScript,CSS,PHP,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
United States of America,25-29,41435,"$60,000 - $80,000",,JavaScript,CSS,,,,,C#,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
United States of America,20-24,41435,"$60,000 - $80,000",,JavaScript,CSS,PHP,Python,,SQL,,,,Perl,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
United States of America,25-29,41435,"$60,000 - $80,000",,JavaScript,,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
United States of America,25-29,11,"$60,000 - $80,000",,JavaScript,CSS,PHP,,,SQL,C#,,,,,,So happy it hurts,Windows 7,"Fortune 1000 (1,000+)"
