string_field_2,string_field_3,string_field_0,string_field_100,string_field_56,string_field_57,string_field_58,string_field_59,string_field_60,string_field_61,string_field_62,string_field_63,string_field_64,string_field_65,string_field_66,string_field_67,string_field_68,string_field_69,string_field_99,string_field_81,string_field_5
20-24,6/10/2013,Other Europe,,,,,,,,,,,,,,,,,,
,,United Kingdom,,,,,,,,,,,,,,,,,,
25-29,2/5/2013,Other Europe,,,,,,,,,,,,,,,,,,
25-29,<2,Netherlands,,,,,,,,,,,,,,,,,,
25-29,2/5/2013,United States of America,,,,,,,,,,,,,,,,,,
30-34,6/10/2013,Other Europe,,,,,,,,,,,,,,,,,,
,,South America,,,,,,,,,,,,,,,,,,
25-29,6/10/2013,Germany,,,,,,,,,,,,,,,,,,
20-24,2/5/2013,Other Europe,,,,,,,,,,,,,,,,,,
40-50,11,United States of America,,,,,,,,,,,,,,,,,,
,,Other Asia,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,
25-29,2/5/2013,Other Asia,,,,,,,,,,,,,,,,,,
25-29,2/5/2013,United States of America,,,,,,,,,,,,,,,,,,
30-34,11,Other Europe,,C,C++,C#,,JavaScript,jQuery,,,,,Python,,,,,Windows 7,26-100
51-60,11,Germany,,,,,Java,,,,,,PHP,Python,,,,Love my job,Linux,"Other (not working, consultant, etc.)"
35-39,<2,United States of America,"<$20,000",,,,,,,,,,,,,,,I enjoy going to work,Mac OS X,"Other (not working, consultant, etc.)"
51-60,11,Other Europe,,,,,,,,,,,,Python,,,R,Love my job,Mac OS X,3001
30-34,6/10/2013,United Kingdom,"$80,000 - $100,000",,,C#,,,jQuery,,,,,,,,,I'm not happy in my job,Windows 7,3001
30-34,6/10/2013,Other Europe,,,,,,JavaScript,jQuery,,,,,,Ruby,,,Love my job,Linux,1/25/2013
25-29,2/5/2013,India,"<$20,000",,,,,JavaScript,jQuery,,,,PHP,,,,,Love my job,Windows 7,1/25/2013
40-50,11,United Kingdom,,,,,,,,,,,,,,,,,,"1,000-3,000"
20-24,<2,United Kingdom,,,,C#,,,,,,,,,,SQL,,,Windows XP,3001
< 20,2/5/2013,Netherlands,"<$20,000",,,C#,Java,,,,,,PHP,,,SQL,VB.NET,Love my job,Windows 7,1/25/2013
20-24,2/5/2013,Other Europe,Rather not say,,,,Java,JavaScript,jQuery,,,,PHP,,,SQL,,Love my job,Windows XP,26-100
51-60,11,United States of America,">$140,000",C,C++,,Java,JavaScript,,,Node.js,,,Python,,,,I enjoy going to work,Windows XP,"Other (not working, consultant, etc.)"
25-29,2/5/2013,United States of America,Rather not say,,,,Java,JavaScript,,,,,,,,SQL,ExtJS,Love my job,Windows 7,101-999
30-34,6/10/2013,Canada,"$40,000 - $60,000",,,,,JavaScript,,,,,PHP,,Ruby,,Dart,Love my job,Linux,26-100
51-60,11,United States of America,,C,,,,,,,,,,Python,,,R   FORTRAN,It's a paycheck,Linux,"1,000-3,000"
25-29,11,United States of America,"<$20,000",C,C++,,,JavaScript,jQuery,,,,,Python,,,,I wish I had a job!,Linux,3001
35-39,2/5/2013,Other Asia,"$40,000 - $60,000",,,,,JavaScript,jQuery,,,,,,Ruby,,,I'm not happy in my job,Linux,"1,000-3,000"
25-29,6/10/2013,Germany,"$40,000 - $60,000",,,C#,Java,JavaScript,jQuery,,,,,,,SQL,,I enjoy going to work,Mac OS X,26-100
< 20,<2,United Kingdom,Rather not say,,,,,JavaScript,,JQuery,,,PHP,,,SQL,,Love my job,Windows 8,1/25/2013
25-29,11,Russia,"<$20,000",,,C#,,,,,,,,,,,,It's a paycheck,Windows XP,101-999
20-24,<2,South America,Rather not say,,,,Java,JavaScript,jQuery,,,,PHP,,,,,Love my job,Windows 7,1/25/2013
40-50,11,United States of America,"$120,000 - $140,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,I enjoy going to work,Windows 7,3001
25-29,6/10/2013,India,Rather not say,,,C#,,,jQuery,,,,,,,SQL,,It's a paycheck,Windows XP,3001
40-50,11,Italy,"$60,000 - $80,000",,,C#,Java,,,,,,,,,SQL,,It's a paycheck,Windows 8,"1,000-3,000"
20-24,6/10/2013,United States of America,"$60,000 - $80,000",C,C++,,Java,,,,,,,Python,,,Verilog,I enjoy going to work,Windows 7,26-100
35-39,6/10/2013,Middle East,"$40,000 - $60,000",C,C++,,Java,,,,,,,,,,,I enjoy going to work,Windows 7,3001
20-24,<2,Other Europe,,,,C#,,JavaScript,jQuery,,,,,,,,T-SQL,I enjoy going to work,Windows 7,1/25/2013
20-24,2/5/2013,Netherlands,"$20,000 - $40,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,,I enjoy going to work,Windows 7,1/25/2013
25-29,2/5/2013,United States of America,"$60,000 - $80,000",,,C#,,,jQuery,,,,PHP,,,,,I enjoy going to work,Windows 7,101-999
30-34,6/10/2013,United States of America,"$100,000 - $120,000",,,C#,,JavaScript,jQuery,,,,,,Ruby,SQL,,I enjoy going to work,Mac OS X,101-999
30-34,6/10/2013,Other Europe,Rather not say,,,,Java,JavaScript,jQuery,,,,,,,,,Love my job,Linux,3001
25-29,11,Russia,"$40,000 - $60,000",,,C#,,,,,,,,,,,ABAP,I enjoy going to work,Windows 7,26-100
30-34,6/10/2013,Canada,"$80,000 - $100,000",,,C#,,,jQuery,,,,,Python,,,,It's a paycheck,Windows 7,26-100
25-29,6/10/2013,Other Europe,"<$20,000",,,,Java,,,,,,,,,,"maven, Oracle DB, Cassandra, mysql",I enjoy going to work,Windows 7,3001
35-39,2/5/2013,United Kingdom,"$100,000 - $120,000",,,,,,,,,,,,,,Freepascal and Lazarus IDE,I enjoy going to work,Linux,1/25/2013
40-50,11,Australasia,"$60,000 - $80,000",C,C++,,Java,,,,,Objective-C,,,,,Delphi,I enjoy going to work,Windows 7,26-100
20-24,2/5/2013,Canada,,,,,,,,,,Objective-C,,Python,,,Lua,I enjoy going to work,Linux,26-100
20-24,2/5/2013,United States of America,"$60,000 - $80,000",C,C++,,Java,JavaScript,,,,,,,,SQL,,I enjoy going to work,Windows 7,101-999
35-39,6/10/2013,Middle East,,,,,Java,,,,,,,,,,,I enjoy going to work,Linux,26-100
51-60,11,United States of America,"$80,000 - $100,000",,,C#,Java,,,,,,,,,SQL,"Delphi, XAML",I enjoy going to work,Windows 8,1/25/2013
30-34,6/10/2013,Central America,,,,C#,,JavaScript,jQuery,,,,,,Ruby,,SQL,It's a paycheck,Windows 7,1/25/2013
25-29,2/5/2013,United States of America,"$60,000 - $80,000",,,,,JavaScript,,,,,,Python,Ruby,SQL,,I enjoy going to work,Linux,3001
20-24,<2,United States of America,,,C++,,,,,,,,,Python,,SQL,MATLAB,I wish I had a job!,Windows 7,"Other (not working, consultant, etc.)"
< 20,2/5/2013,United States of America,Student / Unemployed,,,C#,,JavaScript,jQuery,,Node.js,Objective-C,,,,SQL,,Love my job,Linux,1/25/2013
25-29,2/5/2013,United States of America,"$40,000 - $60,000",,,,,JavaScript,jQuery,,Node.js,,PHP,,,,,Love my job,Windows 7,26-100
40-50,11,United Kingdom,"$60,000 - $80,000",,,C#,,JavaScript,jQuery,JQuery,Node.js,,,,,SQL,,It's a paycheck,Linux,26-100
35-39,11,Africa,"$80,000 - $100,000",,,,Java,,,,,,,,,SQL,,It's a paycheck,Windows 7,26-100
20-24,2/5/2013,United Kingdom,"$20,000 - $40,000",,,C#,,,,,,,,,,SQL,"ESB, SOA, XSLT, SSRS",I enjoy going to work,Windows 7,"1,000-3,000"
30-34,2/5/2013,Germany,"$40,000 - $60,000",,,,Java,,,,,,,,,SQL,"xml stack: xslt, xquery, bpel, soap...",It's a paycheck,Windows 7,1/25/2013
35-39,6/10/2013,Other Europe,Rather not say,C,,,Java,JavaScript,,,,,,Python,,,OCaml,I enjoy going to work,Linux,1/25/2013
30-34,11,Germany,"$80,000 - $100,000",,C++,,Java,JavaScript,,,Node.js,,PHP,Python,,SQL,bash,Love my job,Windows 7,1/25/2013
< 20,2/5/2013,United States of America,Student / Unemployed,C,C++,C#,Java,,,,,,,,,,Perl (It's got some nice regex),I wish I had a job!,Linux,"Other (not working, consultant, etc.)"
20-24,<2,India,Student / Unemployed,,C++,,,JavaScript,jQuery,,,,PHP,,,SQL,,I wish I had a job!,Windows 7,"Other (not working, consultant, etc.)"
< 20,<2,Russia,Student / Unemployed,C,C++,C#,,,,,,,,Python,,SQL,F#,I wish I had a job!,Windows 8,1/25/2013
25-29,2/5/2013,Other Asia,"<$20,000",,,,,,,,,,,Python,,,,I enjoy going to work,Windows 7,1/25/2013
30-34,11,Africa,"$40,000 - $60,000",,C++,,,JavaScript,jQuery,,,,,,Ruby,,,I enjoy going to work,Mac OS X,26-100
20-24,2/5/2013,United Kingdom,"$20,000 - $40,000",,,,,JavaScript,jQuery,,,Objective-C,PHP,Python,,SQL,,I enjoy going to work,Windows 7,26-100
30-34,11,Germany,Rather not say,,,,,JavaScript,jQuery,JQuery,,,PHP,,,,,I enjoy going to work,Mac OS X,26-100
25-29,6/10/2013,United States of America,"$100,000 - $120,000",,,C#,,JavaScript,jQuery,,,,,,Ruby,SQL,CoffeeScript,Love my job,Windows 7,26-100
30-34,6/10/2013,Other Europe,"$80,000 - $100,000",,,C#,,JavaScript,jQuery,,Node.js,,,,Ruby,SQL,,I enjoy going to work,Windows 7,101-999
51-60,11,United Kingdom,Rather not say,C,C++,C#,,,,,,,,,,SQL,,It's a paycheck,Windows XP,3001
20-24,11,India,Rather not say,C,C++,,Java,,,,,,,Python,,,,Love my job,Linux,3001
25-29,2/5/2013,Canada,"$60,000 - $80,000",C,,,Java,,,,,,,,,SQL,,I enjoy going to work,Linux,101-999
25-29,6/10/2013,Other Europe,"$40,000 - $60,000",,,C#,Java,JavaScript,jQuery,,,Objective-C,,,,SQL,,It's a paycheck,Windows 7,26-100
30-34,11,United States of America,">$140,000",,,,,JavaScript,jQuery,,,,,,Ruby,SQL,bash,I enjoy going to work,Mac OS X,26-100
25-29,6/10/2013,Other Europe,,,,,,,,,,,,,,,,,,
20-24,2/5/2013,Other Europe,,,,,,,,,,,,,,,,,,
25-29,2/5/2013,India,,,,,,,,,,,,,,,,,,
35-39,11,United Kingdom,,,,,,,,,,,,,,,,,,
30-34,2/5/2013,United States of America,,,,,,,,,,,,,,,,,,
< 20,2/5/2013,United States of America,,,,,,,,,,,,,,,,,,
35-39,6/10/2013,United States of America,,,,,,,,,,,,,,,,,,
< 20,<2,Other Europe,,,,,,,,,,,,,,,,,,
30-34,11,Russia,,,,,,,,,,,,,,,,,,
25-29,6/10/2013,Germany,,,,,,,,,,,,,,,,,,
25-29,6/10/2013,United States of America,,,,,,,,,,,,,,,,,,
30-34,6/10/2013,Middle East,,,,,,,,,,,,,,,,,,
25-29,<2,Germany,,,,,,,,,,,,,,,,,,
40-50,11,United Kingdom,,,,,,,,,,,,,,,,,,
30-34,6/10/2013,Australasia,,,,,,,,,,,,,,,,,,
< 20,6/10/2013,United States of America,,,,,,,,,,,,,,,,,,
,,Germany,,,,,,,,,,,,,,,,,,
20-24,2/5/2013,Other Europe,,,,,,,,,,,,,,,,,,
20-24,2/5/2013,Russia,,,,,,,,,,,,,,,,,,
30-34,11,United Kingdom,,,,,,,,,,,,,,,,,,
35-39,11,Other Europe,,,,,,,,,,,,,,,,,,
20-24,2/5/2013,United States of America,,,,,,,,,,,,,,,,,,
,,Africa,,,,,,,,,,,,,,,,,,
20-24,6/10/2013,Other Europe,,,,,,,,,,,,,,,,,,
< 20,<2,Germany,,,,,,,,,,,,,,,,,,
20-24,6/10/2013,Other Europe,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,
30-34,6/10/2013,Other Asia,,,,,,,,,,,,,,,,,,
25-29,11,Australia,,,,,,,,,,,,,,,,,,
30-34,6/10/2013,United Kingdom,,,,,,,,,,,,,,,,,,
30-34,6/10/2013,United States of America,,,,,,,,,,,,,,,,,,
,,Netherlands,,,,,,,,,,,,,,,,,,
35-39,11,Germany,,,,,,,,,,,,,,,,,,
25-29,2/5/2013,Other Asia,,,,,,,,,,,,,,,,,,
< 20,<2,India,,,,,,,,,,,,,,,,,,
35-39,11,United States of America,,,,,,,,,,,,,,,,,,
51-60,11,United States of America,,,,,,,,,,,,,,,,,,
< 20,2/5/2013,United Kingdom,,,,,,,,,,,,,,,,,,
35-39,11,Other Europe,,C,C++,,Java,,,,,,,Python,,SQL,,It's a paycheck,Linux,101-999
35-39,11,United States of America,,C,,,Java,JavaScript,,,,,,Python,,,,I enjoy going to work,Linux,"1,000-3,000"
< 20,6/10/2013,Middle East,,C,C++,C#,,,,,,,,Python,,SQL,F#,,Windows 8,"Other (not working, consultant, etc.)"
20-24,2/5/2013,United States of America,Student / Unemployed,,,,Java,,,,,,,Python,,,,I enjoy going to work,Linux,"Other (not working, consultant, etc.)"
20-24,2/5/2013,United Kingdom,,C,C++,,,,,,,,,,,,"Fortran, Perl",,Windows 7,"Other (not working, consultant, etc.)"
< 20,2/5/2013,Other Europe,,,,,,,,,,,,Python,,,"Haskell, Common Lisp",I wish I had a job!,Windows 7,"Other (not working, consultant, etc.)"
20-24,2/5/2013,Canada,,,,,,,,,,,,,,,,,,101-999
35-39,11,United Kingdom,,,,,,,,,,,,,,,,,,26-100
20-24,6/10/2013,United States of America,,,,,,,,,,,,,,,,,,26-100
20-24,2/5/2013,Germany,Rather not say,,,C#,,,,,,,,,,SQL,,Love my job,Windows 8,1/25/2013
51-60,11,United States of America,"$100,000 - $120,000",C,C++,,,,,,,Objective-C,,Python,,,D,I enjoy going to work,Linux,"Other (not working, consultant, etc.)"
< 20,6/10/2013,United States of America,Student / Unemployed,,,C#,Java,JavaScript,jQuery,,,,,Python,,SQL,,Love my job,Windows 7,1/25/2013
20-24,2/5/2013,United States of America,Rather not say,,,,Java,JavaScript,jQuery,,Node.js,,PHP,,,,,Love my job,Windows 7,101-999
25-29,2/5/2013,United Kingdom,"$40,000 - $60,000",,,,Java,JavaScript,jQuery,,Node.js,,,,,,,It's a paycheck,Linux,26-100
25-29,6/10/2013,United States of America,"$40,000 - $60,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,,Love my job,Mac OS X,3001
20-24,6/10/2013,Australia,Rather not say,,,C#,,JavaScript,jQuery,,,,,,,SQL,,Love my job,Windows 7,1/25/2013
30-34,11,South America,Rather not say,,,,,,jQuery,,,,PHP,,,,,Love my job,Windows 7,1/25/2013
40-50,11,United States of America,"$40,000 - $60,000",,,,Java,JavaScript,,,,,,,,,PowerShell,I enjoy going to work,Windows 7,"1,000-3,000"
40-50,11,Italy,Rather not say,,,,Java,,,,,,,,,,,Love my job,Linux,1/25/2013
30-34,6/10/2013,France,"$60,000 - $80,000",,,,Java,,,,,,,,,SQL,,I'm not happy in my job,Windows XP,101-999
35-39,11,United States of America,"$80,000 - $100,000",,C++,C#,,JavaScript,,,,,,,,,,I'm not happy in my job,Windows 7,26-100
30-34,11,Other Europe,"$20,000 - $40,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,Love my job,Windows 7,26-100
30-34,2/5/2013,Other Europe,,,,C#,,JavaScript,jQuery,,,,PHP,,,SQL,,I enjoy going to work,Windows 8,1/25/2013
25-29,6/10/2013,South America,"$40,000 - $60,000",,,,Java,JavaScript,jQuery,,,,,Python,,SQL,,I enjoy going to work,Mac OS X,1/25/2013
25-29,6/10/2013,Other Europe,"$20,000 - $40,000",,,,Java,JavaScript,jQuery,,,,,,Ruby,SQL,,I enjoy going to work,Linux,1/25/2013
35-39,11,United States of America,"$100,000 - $120,000",,,C#,,,,,,,,,,SQL,,I enjoy going to work,Windows 7,3001
25-29,6/10/2013,Other Europe,"$40,000 - $60,000",,,,Java,JavaScript,jQuery,,Node.js,,,Python,,SQL,,I enjoy going to work,Linux,26-100
25-29,6/10/2013,Australia,"$40,000 - $60,000",,,,,,,,,,PHP,Python,,SQL,,It's a paycheck,Linux,3001
40-50,11,United States of America,"$80,000 - $100,000",,,C#,,,,,,,,,,,VB.NET,I enjoy going to work,Windows 7,3001
25-29,6/10/2013,Australia,"$60,000 - $80,000",,,,Java,,,,,,,,,,,I enjoy going to work,Windows 7,3001
25-29,6/10/2013,United States of America,"$20,000 - $40,000",C,C++,,,,,,,,,,Ruby,,Bro IDS,Love my job,Mac OS X,26-100
< 20,2/5/2013,United States of America,,C,C++,,Java,JavaScript,jQuery,,,,PHP,,Ruby,SQL,,I enjoy going to work,Mac OS X,1/25/2013
30-34,6/10/2013,United Kingdom,,,,,,JavaScript,jQuery,,,,,,Ruby,,R,Love my job,Linux,1/25/2013
25-29,2/5/2013,United States of America,"$40,000 - $60,000",,,C#,,JavaScript,jQuery,,,Objective-C,,,,SQL,vb.net,I'm not happy in my job,Windows 7,101-999
30-34,6/10/2013,United States of America,"$40,000 - $60,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,I enjoy going to work,Windows 7,3001
25-29,6/10/2013,Other Europe,"$20,000 - $40,000",,,,,JavaScript,jQuery,,,,PHP,Python,,SQL,mongodb,I enjoy going to work,Mac OS X,1/25/2013
35-39,11,United Kingdom,"$40,000 - $60,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,,I enjoy going to work,Linux,1/25/2013
25-29,2/5/2013,United States of America,"$40,000 - $60,000",,,,,JavaScript,,,,,,,,SQL,Perl,I enjoy going to work,Windows 7,1/25/2013
35-39,11,United States of America,"$60,000 - $80,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,I enjoy going to work,Windows 7,1/25/2013
25-29,2/5/2013,United States of America,,,,C#,,,,,,,,,,SQL,VB,It's a paycheck,Mac OS X,26-100
30-34,11,United Kingdom,Rather not say,,,C#,Java,JavaScript,jQuery,,,,,,,SQL,,Love my job,Windows 7,1/25/2013
25-29,2/5/2013,United Kingdom,"$40,000 - $60,000",,,,Java,JavaScript,,,,,,,,,Perl,I enjoy going to work,Linux,101-999
35-39,11,United States of America,"$100,000 - $120,000",,,C#,,,,,,,,,,SQL,,It's a paycheck,Windows 7,101-999
35-39,11,France,"$80,000 - $100,000",C,,C#,,JavaScript,jQuery,,,,,,,SQL,,I'm not happy in my job,Windows 7,3001
25-29,6/10/2013,France,Rather not say,C,C++,,,JavaScript,,,,,,,,,Shell,Love my job,Linux,1/25/2013
25-29,2/5/2013,Other Europe,Rather not say,,,C#,,JavaScript,jQuery,,,,PHP,,,SQL,,I enjoy going to work,Windows 7,"1,000-3,000"
35-39,11,Germany,"$60,000 - $80,000",,C++,C#,,,,,,,,,,,,I enjoy going to work,Windows 7,1/25/2013
30-34,6/10/2013,Middle East,"$80,000 - $100,000",,,,Java,JavaScript,,,,,PHP,,,SQL,Groovy,I enjoy going to work,Mac OS X,3001
35-39,11,United Kingdom,"$60,000 - $80,000",,,C#,,JavaScript,jQuery,,,,PHP,,Ruby,SQL,,Love my job,Windows 7,1/25/2013
20-24,<2,Other Europe,"<$20,000",,,C#,,JavaScript,jQuery,,,,,,,,,It's a paycheck,Windows 7,101-999
30-34,11,United Kingdom,"$40,000 - $60,000",C,C++,,Java,,,,,,,Python,,,,I enjoy going to work,Linux,3001
25-29,2/5/2013,Netherlands,"$40,000 - $60,000",,,,Java,,jQuery,,,,,,,,,It's a paycheck,Windows 7,1/25/2013
30-34,11,United States of America,"$80,000 - $100,000",,,,,JavaScript,jQuery,,,,,,,SQL,VB.NET,Love my job,Windows 7,101-999
25-29,2/5/2013,United States of America,"$40,000 - $60,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,,I enjoy going to work,Mac OS X,1/25/2013
25-29,<2,United States of America,"$80,000 - $100,000",,,,,,,,,,,,,SQL,VB.Net,Love my job,Windows 7,101-999
20-24,2/5/2013,Other Asia,"<$20,000",C,C++,,,,,,,,,,,,CUDA,It's a paycheck,Windows 7,1/25/2013
30-34,11,Russia,"$20,000 - $40,000",,,C#,,,,,,,,,,SQL,,I enjoy going to work,Windows 7,26-100
20-24,6/10/2013,United States of America,"$20,000 - $40,000",,C++,,,JavaScript,jQuery,,Node.js,Objective-C,,,,,,Love my job,Mac OS X,1/25/2013
30-34,11,Russia,"<$20,000",,,,Java,JavaScript,jQuery,,,,PHP,,Ruby,,,Love my job,Linux,1/25/2013
30-34,6/10/2013,Russia,,,,C#,,JavaScript,jQuery,,,,,,,SQL,TypeScript,I enjoy going to work,Windows 7,26-100
30-34,11,South America,"$80,000 - $100,000",,,C#,Java,JavaScript,jQuery,,,,PHP,,,SQL,,It's a paycheck,Windows 8,101-999
35-39,<2,United States of America,">$140,000",,,,,,,,,,,,,,,Love my job,Mac OS X,26-100
25-29,2/5/2013,United Kingdom,">$140,000",,,,Java,,,,,,,Python,,,"Matlab, Haskell",I enjoy going to work,Mac OS X,26-100
20-24,<2,United States of America,"$60,000 - $80,000",,,C#,Java,,,,,,,Python,,SQL,,It's a paycheck,Linux,26-100
25-29,6/10/2013,United States of America,"$20,000 - $40,000",,C++,,Java,,,,,,,Python,,SQL,,Love my job,Linux,1/25/2013
< 20,2/5/2013,United States of America,Student / Unemployed,,,,,,,,,,,Python,,,,I wish I had a job!,Linux,"Other (not working, consultant, etc.)"
25-29,2/5/2013,United Kingdom,Rather not say,,,,Java,,,,,,,Python,,SQL,,I enjoy going to work,Windows 7,1/25/2013
25-29,2/5/2013,Germany,"$60,000 - $80,000",,,,Java,,,,,,,Python,,,,I'm not happy in my job,Linux,1/25/2013
30-34,6/10/2013,Other Europe,"$120,000 - $140,000",,,,Java,JavaScript,jQuery,,Node.js,,PHP,,,SQL,scala,I enjoy going to work,Linux,"1,000-3,000"
35-39,11,United States of America,"$60,000 - $80,000",,,,,,,,,,,,,SQL,PL/SQL,I enjoy going to work,Windows 7,101-999
20-24,6/10/2013,United Kingdom,Rather not say,,,,,,jQuery,,,,PHP,,,SQL,,Love my job,Windows 7,1/25/2013
40-50,11,United States of America,"$100,000 - $120,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,Love my job,Windows 8,1/25/2013
40-50,11,Canada,"$60,000 - $80,000",,,,,JavaScript,,,,,PHP,Python,,SQL,,I enjoy going to work,Mac OS X,1/25/2013
30-34,2/5/2013,United States of America,Rather not say,,,,Java,JavaScript,,,,,,,,SQL,,It's a paycheck,Linux,26-100
35-39,11,Mexico,Rather not say,,,,,,,,,,PHP,,,SQL,,I enjoy going to work,Linux,"Other (not working, consultant, etc.)"
35-39,11,United Kingdom,"$60,000 - $80,000",,C++,C#,,JavaScript,,,,,,,,SQL,,I enjoy going to work,Windows 7,101-999
20-24,11,Germany,"<$20,000",C,C++,C#,,JavaScript,,,,,PHP,,,SQL,,Love my job,Windows 8,26-100
35-39,6/10/2013,Other Europe,">$140,000",,,C#,,,,,,,,Python,,SQL,,I wish I had a job!,Windows 7,"Other (not working, consultant, etc.)"
25-29,2/5/2013,India,"<$20,000",,,,Java,JavaScript,jQuery,,,,,,,SQL,,Love my job,Windows 7,101-999
20-24,<2,Australia,Rather not say,,,C#,Java,,,,,,,,,,,I enjoy going to work,Windows 7,"1,000-3,000"
35-39,11,Germany,"$120,000 - $140,000",,,C#,,JavaScript,,,,,,,,,,I enjoy going to work,Mac OS X,26-100
25-29,11,United States of America,"$60,000 - $80,000",C,,C#,,,,,,,,,,SQL,,It's a paycheck,Windows 7,3001
30-34,11,Canada,"$80,000 - $100,000",,C++,C#,,JavaScript,jQuery,,,,PHP,Python,,,,I enjoy going to work,Windows 8,101-999
35-39,11,Australasia,,,,,Java,,,,,,,,,SQL,,I enjoy going to work,Mac OS X,26-100
35-39,11,United States of America,">$140,000",,,,Java,JavaScript,,,,,PHP,,,SQL,Clojure,Love my job,Mac OS X,1/25/2013
20-24,6/10/2013,Australia,,,,,,,,,,,,,,,,,,
< 20,2/5/2013,United Kingdom,,,,,,,,,,,,,,,,,,
< 20,<2,Other Europe,,,,,,,,,,,,,,,,,,
,,France,,,,,,,,,,,,,,,,,,
,,Canada,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,
25-29,6/10/2013,United States of America,,,,,,,,,,,,,,,,,,
,,Germany,,,,,,,,,,,,,,,,,,
20-24,2/5/2013,South America,,,,,,,,,,,,,,,,,,
25-29,6/10/2013,France,,,,,,,,,,,,,,,,,,
< 20,2/5/2013,Other Europe,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,
25-29,6/10/2013,Other Asia,,,,,,,,,,,,,,,,,,
35-39,11,United Kingdom,,,,,,,,,,,,,,,,,,
30-34,11,Netherlands,,,,,,,,,,,,,,,,,,
30-34,6/10/2013,United States of America,,,,,,,,,,,,,,,,,,
30-34,11,United States of America,,,,,,,,,,,,,,,,,,
20-24,2/5/2013,Germany,,,,,,,,,,,,,,,,,,
25-29,6/10/2013,Other Europe,,,,,,,,,,,,,,,,,,
20-24,2/5/2013,Other Asia,,,,,,,,,,,,,,,,,,
30-34,6/10/2013,France,,,,,,,,,,,,,,,,,,
20-24,<2,Australia,,,,,,,,,,,,,,,,,,
30-34,<2,India,,,,,,,,,,,,,,,,,,
25-29,2/5/2013,Other Asia,,,,,,,,,,,,,,,,,,
< 20,<2,Other Europe,,,,,,,,,,,,,,,,,,
25-29,11,Netherlands,,,,,,,,,,,,,,,,,,
25-29,6/10/2013,Australasia,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,
20-24,2/5/2013,United States of America,,,,,,,,,,,,,,,,,,
20-24,6/10/2013,United States of America,,,,,,,,,,,,,,,,,,
25-29,2/5/2013,United States of America,"$20,000 - $40,000",,,,,,,,,,,Python,,,Haskell,Love my job,Mac OS X,101-999
20-24,2/5/2013,South America,,,,,,,,,,,,,,,,,,"Other (not working, consultant, etc.)"
30-34,<2,United Kingdom,Rather not say,,,,,,,,,,,,,,"CSS, if that is a language or technology.",I enjoy going to work,Windows 8,101-999
20-24,<2,India,,,,,,JavaScript,jQuery,,,,PHP,,,SQL,"html,ajax",I enjoy going to work,Windows 7,1/25/2013
20-24,2/5/2013,Other Europe,"<$20,000",,,,Java,JavaScript,jQuery,,,,PHP,,Ruby,SQL,,I'm not happy in my job,Linux,26-100
51-60,11,Australia,,,,,,,,,,,,,,,,,,1/25/2013
25-29,2/5/2013,India,,,,C#,,JavaScript,jQuery,,,,PHP,,,SQL,,,Windows XP,101-999
25-29,6/10/2013,South America,"$40,000 - $60,000",,,,,JavaScript,jQuery,,,,,,,,,I enjoy going to work,Windows 7,"Other (not working, consultant, etc.)"
30-34,6/10/2013,Germany,,,C++,C#,,,,,,,,,,,,,Windows 7,26-100
25-29,2/5/2013,United States of America,,C,C++,,Java,,,,,,,Python,,SQL,,,Windows 7,1/25/2013
35-39,11,Germany,,C,,C#,Java,,,,,,,,,,Delphi,It's a paycheck,Windows 7,1/25/2013
25-29,2/5/2013,India,"$20,000 - $40,000",C,,,Java,,,,,,,,,,,I'm not happy in my job,Linux,3001
25-29,6/10/2013,United Kingdom,,,,C#,Java,,jQuery,,,,,Python,,SQL,,,Windows 7,26-100
20-24,2/5/2013,United States of America,,,,,,,,,,,,,,,,,,1/25/2013
25-29,2/5/2013,United States of America,"$20,000 - $40,000",C,,,,,,,,,,Python,,,Fortran90,Love my job,Mac OS X,3001
30-34,11,India,"$120,000 - $140,000",C,C++,C#,Java,JavaScript,jQuery,,Node.js,Objective-C,PHP,Python,,,,Hate my job,Windows 7,26-100
20-24,2/5/2013,United States of America,"$60,000 - $80,000",C,,,Java,JavaScript,jQuery,,Node.js,,PHP,Python,Ruby,SQL,CoffeeScript,Love my job,Mac OS X,1/25/2013
20-24,<2,Netherlands,Student / Unemployed,,,C#,Java,,,,,,PHP,,,SQL,,Love my job,Windows 8,1/25/2013
