string_field_2,string_field_3,string_field_0,string_field_39,string_field_22,string_field_23,string_field_24,string_field_25,string_field_26,string_field_27,string_field_28,string_field_29,string_field_30,string_field_31,string_field_32,string_field_33,string_field_34,string_field_35,string_field_36,string_field_38,string_field_37,string_field_5
20-24,40944,France,"$40,000 - $60,000",,JavaScript,CSS,,Python,,,SQL,,,,,HTML5,,,Its a paycheck,Linux,"Other (not working, consultant, etc.)"
51-60,11,United States of America,"$80,000 - $100,000",,JavaScript,CSS,PHP,Python,,,SQL,,,,,HTML5,,,I'm not happy in my job,Linux,Mature Small Business (25-100)
25-29,41070,Germany,"$40,000 - $60,000",Java,JavaScript,,PHP,,,,,,,,,,,,I enjoy going to work,,Mature Small Business (25-100)
25-29,41070,United Kingdom,Rather not say,,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,"VB6, VBScript",I enjoy going to work,Windows 7,Mid Sized (100-999)
30-34,40944,India,"<$20,000",Java,,,,Python,,,,,,,,,,,Love my job,Linux,"Fortune 1000 (1,000+)"
25-29,40944,United States of America,Rather not say,Java,JavaScript,CSS,PHP,,,,,,,,,HTML5,,,I'm not happy in my job,Windows 7,"Fortune 1000 (1,000+)"
20-24,41070,Other Europe,Rather not say,,,,PHP,,,,,,C++,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
< 20,40944,United States of America,Student / Unemployed,,,,,,,,,C#,,,,,,,I wish I had a job!,Windows 7,Student
20-24,41070,Canada,Student / Unemployed,Java,,CSS,,Python,,,,C#,C++,C,,,,,Its a paycheck,Windows 7,Student
30-34,41070,India,"<$20,000",Java,,,,,,,,,,,,,,,Its a paycheck,Windows XP,"Fortune 1000 (1,000+)"
25-29,11,Other Europe,,Java,,,,,,Ruby,,,C++,C,Perl,,,,Its a paycheck,Windows 7,Mature Small Business (25-100)
30-34,41070,United Kingdom,Rather not say,Java,,,,,,,SQL,,,,,,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
20-24,40944,Other Europe,Rather not say,Java,JavaScript,CSS,,,,,SQL,C#,,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
30-34,40944,United States of America,"$80,000 - $100,000",,,,,,,,SQL,C#,,,,,,,Love my job,Windows 7,Mid Sized (100-999)
25-29,40944,India,,Java,JavaScript,,,,,,,,,,,,,,Its a paycheck,Windows XP,"Fortune 1000 (1,000+)"
25-29,41070,United States of America,Rather not say,,JavaScript,CSS,,,,,SQL,C#,,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
25-29,40944,United States of America,"$100,000 - $120,000",Java,JavaScript,CSS,,,,,,,,,,HTML5,,,Love my job,Windows 7,Mature Small Business (25-100)
< 20,<2,United States of America,Student / Unemployed,Java,,,,Python,,,,,,,,,,,I wish I had a job!,Windows 7,Start Up (1-25)
20-24,<2,India,Student / Unemployed,,,,,,,,,,,,,,,Delphi,I wish I had a job!,Windows 7,Student
20-24,40944,Other Europe,,Java,,,,,,,,,,C,,,,,I wish I had a job!,Windows 7,Student
25-29,41070,Other Europe,"$60,000 - $80,000",,,,,Python,,,,,C++,C,,,,Haskell,I'm not happy in my job,Linux,Student
20-24,40944,India,"<$20,000",,,,,,Objective-C,,,,,,,,,,I'm not happy in my job,Mac OS X,Start Up (1-25)
40-50,11,United Kingdom,Rather not say,,,,,,,,SQL,C#,,,,,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
25-29,40944,South America,Rather not say,Java,,,,,,,,,,,,,,,Love my job,Windows 7,"Fortune 1000 (1,000+)"
25-29,40944,Italy,"<$20,000",,,,,,,,SQL,C#,,,,,,,I enjoy going to work,Windows XP,Start Up (1-25)
35-39,11,India,Rather not say,,JavaScript,CSS,,,,,SQL,C#,,,,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
25-29,40944,France,"$20,000 - $40,000",Java,,,,,,,,,,,,,,,Love my job,Windows 7,Mature Small Business (25-100)
25-29,<2,Netherlands,"$20,000 - $40,000",,,,,,,,,,,,,,,VB,Love my job,Windows 7,Start Up (1-25)
25-29,40944,United States of America,"$40,000 - $60,000",,JavaScript,CSS,PHP,Python,,,SQL,,C++,C,,HTML5,,,I enjoy going to work,Linux,Mid Sized (100-999)
25-29,40944,United States of America,"$40,000 - $60,000",,JavaScript,CSS,PHP,,,,SQL,,,,,,,,Its a paycheck,Windows XP,Mid Sized (100-999)
< 20,40944,Germany,"<$20,000",,JavaScript,CSS,PHP,,,,,,,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
< 20,40944,Other Europe,Student / Unemployed,,JavaScript,CSS,,Python,,,,,C++,C,,HTML5,,,I wish I had a job!,Linux,"Other (not working, consultant, etc.)"
30-34,11,United States of America,"$20,000 - $40,000",,,CSS,PHP,,,,SQL,C#,,,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
20-24,40944,India,Rather not say,,,,,,Objective-C,,,,C++,C,,,,,Love my job,Mac OS X,Mature Small Business (25-100)
20-24,40944,Other Europe,Student / Unemployed,Java,JavaScript,CSS,PHP,,,,SQL,C#,,,,,,,I enjoy going to work,Windows 7,Student
< 20,<2,United States of America,Student / Unemployed,,JavaScript,CSS,,,Objective-C,,,,,,,HTML5,,,I wish I had a job!,Mac OS X,Student
20-24,40944,Bangladesh,Student / Unemployed,Java,,,,,,,,,,,,,,,Its a paycheck,Windows 7,Student
25-29,41070,Other Europe,"<$20,000",Java,JavaScript,CSS,,,,,,,,,,HTML5,,,Its a paycheck,Windows XP,"Fortune 1000 (1,000+)"
30-34,41070,Other Europe,"$40,000 - $60,000",Java,JavaScript,CSS,PHP,,,,SQL,,,,,,,,I'm not happy in my job,Windows XP,"Fortune 1000 (1,000+)"
25-29,41070,Middle East,Rather not say,,JavaScript,,PHP,,,,SQL,,,,,HTML5,,,I enjoy going to work,Windows 7,"Other (not working, consultant, etc.)"
20-24,41070,Other Europe,"<$20,000",Java,,,,,,,,,,C,,,,,Its a paycheck,Linux,Start Up (1-25)
20-24,41070,Germany,"<$20,000",Java,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,,I enjoy going to work,Linux,Mid Sized (100-999)
20-24,<2,Other Europe,Rather not say,,JavaScript,,,,,,SQL,C#,,,,HTML5,,,Love my job,Windows 7,Mature Small Business (25-100)
20-24,40944,India,"<$20,000",,JavaScript,CSS,PHP,,,,,,,,,HTML5,,,I enjoy going to work,Linux,Mid Sized (100-999)
< 20,40944,Italy,Student / Unemployed,,JavaScript,CSS,,Python,,,,,,,,HTML5,,,I wish I had a job!,Linux,Student
25-29,41070,United States of America,Rather not say,,JavaScript,,,Python,Objective-C,,,,,,,,,,Love my job,Mac OS X,Start Up (1-25)
35-39,11,Other Europe,"$120,000 - $140,000",Java,,,PHP,Python,,,SQL,,,C,Perl,,,,Love my job,Windows 7,Mature Small Business (25-100)
25-29,41070,United Kingdom,"$60,000 - $80,000",,,,,Python,,Ruby,,,,C,,,,,I enjoy going to work,Mac OS X,Mid Sized (100-999)
20-24,40944,Other Europe,Student / Unemployed,Java,,,,,,,,C#,C++,C,,,,,I enjoy going to work,Windows 7,Student
35-39,11,Other Europe,"$20,000 - $40,000",Java,,,,,,,SQL,,C++,C,,,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
25-29,41070,Other Europe,"$20,000 - $40,000",Java,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,,Love my job,Windows 7,"Fortune 1000 (1,000+)"
25-29,41070,United Kingdom,"$20,000 - $40,000",,JavaScript,CSS,PHP,,,,SQL,,,,,,,,Its a paycheck,Windows 7,Mature Small Business (25-100)
25-29,40944,United States of America,"$60,000 - $80,000",,,,,,,,SQL,C#,,,,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
25-29,11,Other Europe,"$80,000 - $100,000",Java,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,,Love my job,Windows 7,"Fortune 1000 (1,000+)"
30-34,40944,Canada,"$40,000 - $60,000",,,,,,,,,C#,,C,,,,Visual Basic,I enjoy going to work,Windows 7,Mature Small Business (25-100)
25-29,11,United States of America,"$80,000 - $100,000",,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,,Its a paycheck,Linux,"Fortune 1000 (1,000+)"
35-39,11,Other Europe,"<$20,000",,JavaScript,,PHP,,,,,,C++,C,,,,Functional prg. languages,Its a paycheck,Linux,"Other (not working, consultant, etc.)"
< 20,40944,Other Europe,"<$20,000",Java,,,PHP,,,,,,C++,,,,,,Its a paycheck,Linux,Student
25-29,41070,Other Europe,Rather not say,,,,PHP,,,,SQL,,C++,C,,,,,I enjoy going to work,Linux,Start Up (1-25)
30-34,40944,Other Europe,Student / Unemployed,Java,,,,Python,,,SQL,C#,,,,,,,I wish I had a job!,Windows 7,Student
25-29,40944,India,,,,,,,,,,,C++,C,,,,,I enjoy going to work,Linux,Mid Sized (100-999)
30-34,40944,Canada,"$40,000 - $60,000",,,,,,,,,,C++,C,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
30-34,11,Other Europe,Rather not say,Java,,,,,,,SQL,,,,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
25-29,40944,Other Europe,Rather not say,,JavaScript,,,,,,SQL,C#,,,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
25-29,40944,France,"$80,000 - $100,000",Java,JavaScript,CSS,PHP,,,,,C#,,,,HTML5,,,Its a paycheck,Windows 7,"Fortune 1000 (1,000+)"
35-39,11,United Kingdom,"$120,000 - $140,000",,,,,,,,,C#,,,,,,,Love my job,Windows 7,"Fortune 1000 (1,000+)"
35-39,11,Other Europe,Rather not say,Java,JavaScript,CSS,,,,,SQL,,,,,HTML5,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
25-29,40944,United States of America,"$60,000 - $80,000",,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
35-39,11,Other Europe,"$60,000 - $80,000",Java,JavaScript,CSS,,,Objective-C,,SQL,C#,C++,C,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
< 20,40944,United States of America,Student / Unemployed,,JavaScript,CSS,PHP,Python,,,SQL,,C++,,,HTML5,,,I wish I had a job!,Linux,Student
25-29,11,Germany,Student / Unemployed,Java,,,,,,,,,C++,C,,,,,Love my job,Linux,Student
25-29,<2,Other Europe,Student / Unemployed,Java,JavaScript,,,,,,SQL,,C++,,,,,,I wish I had a job!,Linux,Student
< 20,<2,United Kingdom,"<$20,000",,,CSS,,,,,,C#,,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
25-29,40944,United States of America,"$100,000 - $120,000",,,,,Python,,,,,C++,C,Perl,,,,Love my job,Linux,"Fortune 1000 (1,000+)"
20-24,<2,Other Asia,"<$20,000",,,,,,,,SQL,C#,,,,,,,I'm not happy in my job,Windows 7,Start Up (1-25)
20-24,41070,Other Europe,Rather not say,Java,,,,,,,,,,,,,,,Love my job,Mac OS X,Start Up (1-25)
< 20,<2,India,Student / Unemployed,,,,,Python,,,,,,,,,,,I wish I had a job!,Linux,"Other (not working, consultant, etc.)"
20-24,40944,Other Asia,"<$20,000",,,,,,Objective-C,,,,,,,,,,Its a paycheck,Mac OS X,Start Up (1-25)
20-24,<2,Mexico,,Java,,,,,,,,,,C,,,,XML,I enjoy going to work,Windows 7,Mature Small Business (25-100)
20-24,41070,Other Europe,"$20,000 - $40,000",Java,,,,,,,,,C++,,,,,,Love my job,Windows Vista,"Fortune 1000 (1,000+)"
25-29,40944,Other Asia,"$40,000 - $60,000",,,CSS,,,,,,C#,,,,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
< 20,40944,United States of America,Student / Unemployed,Java,JavaScript,,,,,,,,C++,,,,,learning Haskell,I wish I had a job!,Linux,Student
35-39,11,United States of America,Rather not say,,,,PHP,Python,,,SQL,,C++,C,Perl,,,,Its a paycheck,Linux,"Fortune 1000 (1,000+)"
30-34,41070,Germany,Rather not say,,JavaScript,,PHP,,,,SQL,C#,,,,HTML5,,,Love my job,Windows 7,Mid Sized (100-999)
20-24,40944,Other Europe,Rather not say,Java,JavaScript,,,,,,,,,,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
>60,11,United States of America,,,JavaScript,,,,,,SQL,,,,,,,lisp,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
30-34,40944,United States of America,"$80,000 - $100,000",Java,,,,,,,,,,,,,,,I'm not happy in my job,Linux,"Fortune 1000 (1,000+)"
25-29,<2,Other Europe,"<$20,000",,JavaScript,CSS,,Python,,,SQL,,,,,HTML5,,Basic,I enjoy going to work,Linux,Mid Sized (100-999)
20-24,<2,Central America,"<$20,000",,JavaScript,CSS,PHP,,,,,C#,,,,,,xhtml,Its a paycheck,Mac OS X,Mid Sized (100-999)
< 20,40944,Australia,Student / Unemployed,,JavaScript,CSS,PHP,Python,,,,,C++,C,Perl,HTML5,,XUL,I enjoy going to work,Linux,"Other (not working, consultant, etc.)"
< 20,<2,Other Europe,Student / Unemployed,,,CSS,,,,,SQL,,C++,,,,,,I wish I had a job!,Windows 7,Student
20-24,40944,Other Europe,Student / Unemployed,,,,,,,,,,C++,C,,,,Haskell,I wish I had a job!,Windows 7,Student
20-24,<2,United States of America,Student / Unemployed,Java,,,PHP,,,,,,C++,C,,,,,I wish I had a job!,Windows Vista,Student
25-29,40944,United States of America,"$40,000 - $60,000",,JavaScript,CSS,,,,,SQL,C#,C++,,,,,,I'm not happy in my job,Windows 7,Start Up (1-25)
20-24,<2,India,"<$20,000",,JavaScript,,,,,,SQL,C#,,,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
30-34,40944,Central America,"$40,000 - $60,000",Java,JavaScript,CSS,,,,,SQL,C#,,,,,,LabView,I enjoy going to work,Linux,Mature Small Business (25-100)
51-60,11,United States of America,"$80,000 - $100,000",Java,,,,,,,,C#,,C,,,,,Its a paycheck,Windows XP,Mature Small Business (25-100)
25-29,40944,United States of America,Rather not say,,JavaScript,CSS,PHP,Python,,Ruby,,C#,C++,C,,HTML5,,"Delphi, Assembly, Lua",Love my job,Windows 7,Mature Small Business (25-100)
20-24,<2,India,Rather not say,Java,,,,,,,,,,,,,,,I enjoy going to work,Linux,"Fortune 1000 (1,000+)"
20-24,40944,India,Rather not say,Java,JavaScript,CSS,,,,,SQL,,,C,,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
25-29,40944,Other Europe,"$40,000 - $60,000",,JavaScript,CSS,,Python,Objective-C,,SQL,,C++,,,,,,I enjoy going to work,Mac OS X,Mature Small Business (25-100)
20-24,<2,India,"$20,000 - $40,000",,,,PHP,,,,,,,,,,,Magento,I'm not happy in my job,Windows 7,Start Up (1-25)
20-24,<2,Other Europe,"<$20,000",,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,,Its a paycheck,Windows 7,Mature Small Business (25-100)
20-24,40944,Netherlands,Rather not say,Java,JavaScript,CSS,PHP,,,Ruby,SQL,C#,,,,HTML5,,,I enjoy going to work,Windows 7,Start Up (1-25)
20-24,40944,Australia,"$60,000 - $80,000",,JavaScript,CSS,,Python,,,,,,,,,,,I enjoy going to work,Mac OS X,Mature Small Business (25-100)
20-24,40944,Germany,Rather not say,,JavaScript,CSS,PHP,,Objective-C,,SQL,,C++,,,HTML5,,,I enjoy going to work,Windows 7,Start Up (1-25)
20-24,40944,Netherlands,Student / Unemployed,,JavaScript,CSS,PHP,,,,SQL,,,,,,,,I enjoy going to work,Mac OS X,Student
40-50,11,Australia,,,JavaScript,,PHP,,,,SQL,,C++,C,Perl,HTML5,,,I enjoy going to work,Windows 7,"Other (not working, consultant, etc.)"
20-24,40944,Italy,Student / Unemployed,Java,,,,,,,,,C++,C,,,,Lua,I wish I had a job!,Linux,"Other (not working, consultant, etc.)"
< 20,<2,Australasia,Student / Unemployed,Java,,,,Python,,,,,C++,,,,,,I wish I had a job!,Linux,Student
25-29,<2,Australasia,,,,,,,,,,,,,,,,c#,I wish I had a job!,Windows 7,"Other (not working, consultant, etc.)"
20-24,40944,India,"<$20,000",Java,JavaScript,CSS,,,,,SQL,,,,,HTML5,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
25-29,40944,Other Europe,"<$20,000",Java,,,PHP,,,,,,,,,,,,Its a paycheck,Windows 7,Mid Sized (100-999)
25-29,40944,India,Rather not say,Java,,,,,,,,,,,,,,,I enjoy going to work,Windows XP,Mature Small Business (25-100)
30-34,40944,United Kingdom,,,,,,,,,,C#,,,,,,,Love my job,Windows 7,Mid Sized (100-999)
25-29,40944,Canada,Rather not say,,,,,,,,SQL,C#,,,,,,VB.Net,I enjoy going to work,Windows 7,Start Up (1-25)
30-34,41070,Australasia,"$60,000 - $80,000",,,CSS,,,,,SQL,C#,,,,,,,Its a paycheck,Windows XP,Mid Sized (100-999)
35-39,40944,United States of America,"$20,000 - $40,000",,JavaScript,,,,,,SQL,C#,,,,,,vb.net,I enjoy going to work,Windows 7,Start Up (1-25)
< 20,40944,United States of America,Student / Unemployed,,,CSS,,,,Ruby,,,,,,HTML5,,,Love my job,Windows 7,Student
20-24,<2,Other Europe,"$20,000 - $40,000",Java,JavaScript,CSS,,,,,,C#,,,,HTML5,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
< 20,<2,United States of America,Student / Unemployed,,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,JQuery,I wish I had a job!,Windows XP,"Other (not working, consultant, etc.)"
20-24,41070,Germany,Student / Unemployed,,,,,,,,,,C++,,,,,Haskell,I enjoy going to work,Linux,Student
20-24,40944,South America,Rather not say,,,,,,,,SQL,C#,,C,,,,,Its a paycheck,Windows XP,"Fortune 1000 (1,000+)"
20-24,<2,United States of America,"$80,000 - $100,000",Java,JavaScript,,,,,Ruby,,,,C,,,,,I enjoy going to work,Linux,"Fortune 1000 (1,000+)"
20-24,<2,Other Europe,Rather not say,Java,JavaScript,CSS,,,,,,,,,,,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
20-24,40944,United Kingdom,"$60,000 - $80,000",,,,,,,,,,,C,,,,,Love my job,Windows 7,Mid Sized (100-999)
35-39,41070,United States of America,"$60,000 - $80,000",,JavaScript,CSS,PHP,,,,,C#,,,,HTML5,,,Its a paycheck,Windows 7,"Fortune 1000 (1,000+)"
20-24,41070,Other Europe,Rather not say,Java,,,,,,,,C#,,,,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
20-24,41070,Other Europe,Student / Unemployed,,,,,Python,,,,,C++,,,,,,I wish I had a job!,Linux,Student
20-24,11,Bangladesh,"$80,000 - $100,000",,,,,,,,,,,C,,,,,Hate my job,Mac OS X,Mature Small Business (25-100)
40-50,<2,United States of America,Rather not say,,,,,Python,,,,,,,,,,,Its a paycheck,Linux,"Other (not working, consultant, etc.)"
25-29,40944,United States of America,"$40,000 - $60,000",Java,,CSS,,Python,,,SQL,C#,,,,,,,Its a paycheck,Windows XP,Mature Small Business (25-100)
25-29,41070,United States of America,Rather not say,Java,JavaScript,CSS,,,,Ruby,SQL,C#,,,,,,scala,Love my job,Mac OS X,Mature Small Business (25-100)
20-24,40944,Russia,"<$20,000",Java,,,,Python,Objective-C,,,,C++,,,,,,Love my job,Mac OS X,"Fortune 1000 (1,000+)"
25-29,40944,United States of America,"$40,000 - $60,000",Java,JavaScript,CSS,PHP,,,,SQL,C#,,,,,,,I enjoy going to work,Linux,Mid Sized (100-999)
30-34,11,United States of America,">$140,000",,,,,Python,,,SQL,C#,C++,C,,,,XSL,Love my job,Windows 7,Mid Sized (100-999)
35-39,41070,Africa,"$40,000 - $60,000",Java,,,,,,,SQL,C#,C++,,,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
30-34,41070,Germany,,Java,,,,,,,SQL,C#,C++,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
51-60,11,United States of America,Student / Unemployed,,JavaScript,CSS,PHP,Python,,,,C#,,,Perl,,,,I wish I had a job!,Windows 7,"Other (not working, consultant, etc.)"
25-29,40944,Other Europe,"<$20,000",,,,,,,,SQL,C#,,,,,,,I'm not happy in my job,Windows XP,Mature Small Business (25-100)
< 20,<2,United States of America,Student / Unemployed,Java,JavaScript,,,,,,,,,,,,,,I wish I had a job!,Windows 7,Student
25-29,41070,Other Europe,Student / Unemployed,Java,JavaScript,,PHP,,Objective-C,,SQL,C#,C++,C,,,,,I wish I had a job!,Linux,Student
< 20,<2,United Kingdom,Student / Unemployed,,,,,Python,,,,C#,,,,,,,I wish I had a job!,Linux,Student
20-24,<2,Australia,"$20,000 - $40,000",Java,,,,Python,,Ruby,SQL,C#,C++,C,,,,,Its a paycheck,Windows 7,Start Up (1-25)
< 20,40944,United States of America,Student / Unemployed,Java,,,,Python,,,,,,,,,,Clojure,I enjoy going to work,Linux,"Other (not working, consultant, etc.)"
20-24,40944,United States of America,Rather not say,,JavaScript,CSS,PHP,Python,,,SQL,,C++,,,HTML5,,,Love my job,Windows 7,Start Up (1-25)
30-34,11,United States of America,Rather not say,Java,JavaScript,CSS,PHP,Python,Objective-C,Ruby,SQL,C#,C++,C,Perl,HTML5,,,Love my job,Linux,Start Up (1-25)
< 20,40944,Other Europe,Rather not say,,JavaScript,CSS,,,Objective-C,,SQL,,,C,,HTML5,,,I enjoy going to work,Mac OS X,Student
20-24,41070,Russia,"<$20,000",,,,PHP,,Objective-C,,SQL,C#,C++,C,,,,,I enjoy going to work,Mac OS X,Mature Small Business (25-100)
25-29,40944,India,,Java,,,,,,,,C#,,,,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
>60,11,United States of America,">$140,000",,,,,,,,,C#,C++,C,,,,,Love my job,Windows XP,Mid Sized (100-999)
25-29,40944,Australia,"$40,000 - $60,000",,,,,,Objective-C,,,,,,,,,,I enjoy going to work,Mac OS X,Start Up (1-25)
25-29,<2,Canada,"$40,000 - $60,000",,,,,,,,,C#,C++,,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
30-34,11,Other Europe,"$20,000 - $40,000",Java,JavaScript,CSS,,Python,Objective-C,Ruby,SQL,C#,C++,C,,,,,Its a paycheck,Mac OS X,Start Up (1-25)
20-24,<2,Central America,Rather not say,,,,,,,,,C#,,,,,,,Love my job,Windows 7,Mature Small Business (25-100)
51-60,11,Netherlands,"$40,000 - $60,000",,,,PHP,,,,,C#,,,,,,,Love my job,Windows 7,"Other (not working, consultant, etc.)"
< 20,40944,Other Europe,Rather not say,,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,,I enjoy going to work,Windows XP,Start Up (1-25)
25-29,40944,Other Europe,"<$20,000",,JavaScript,,,,,,,C#,,,,,,,I enjoy going to work,Windows XP,Mid Sized (100-999)
25-29,41070,Other Europe,"<$20,000",Java,JavaScript,CSS,,,,,SQL,,,C,,,,,Its a paycheck,Windows XP,Mid Sized (100-999)
20-24,<2,India,Rather not say,,JavaScript,CSS,,,,,SQL,,,,,,,,I enjoy going to work,Windows XP,Mature Small Business (25-100)
25-29,<2,Other Europe,Rather not say,,JavaScript,CSS,PHP,,,Ruby,SQL,C#,,C,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
25-29,11,Other Europe,Student / Unemployed,,,,PHP,Python,,,SQL,C#,C++,C,,,,,I wish I had a job!,Windows 7,Student
25-29,40944,United States of America,"$20,000 - $40,000",,,,,Python,,,,,,,,,,,I enjoy going to work,Linux,Student
20-24,40944,United States of America,"$60,000 - $80,000",Java,,,,,,,,C#,C++,C,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
< 20,<2,Other Asia,Student / Unemployed,Java,,CSS,,,,,SQL,C#,,,,HTML5,,,I wish I had a job!,Windows 7,Student
20-24,40944,Africa,"<$20,000",,JavaScript,CSS,,,,,SQL,C#,,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
25-29,40944,Canada,"$40,000 - $60,000",,JavaScript,,PHP,,,,,,,,,,,,I enjoy going to work,Linux,Mature Small Business (25-100)
20-24,<2,United States of America,"$60,000 - $80,000",,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,,Love my job,Windows 7,Mid Sized (100-999)
< 20,<2,Canada,Student / Unemployed,,,,,,,,,,C++,,,,,,I wish I had a job!,Linux,Student
30-34,<2,Other Europe,Rather not say,,,,,,,,,C#,,,,,,,I wish I had a job!,Windows 7,"Other (not working, consultant, etc.)"
40-50,11,United Kingdom,Rather not say,,JavaScript,,,,,,,C#,,,,,,,I enjoy going to work,Windows XP,Mid Sized (100-999)
30-34,40944,United States of America,"$40,000 - $60,000",,JavaScript,CSS,,,,,,,,,,HTML5,,,I enjoy going to work,Mac OS X,Mature Small Business (25-100)
20-24,40944,Other Europe,"$60,000 - $80,000",Java,JavaScript,CSS,PHP,Python,,Ruby,SQL,,,C,,HTML5,,,I enjoy going to work,Windows 7,Student
35-39,40944,United States of America,"$60,000 - $80,000",,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,ASP.Net,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
25-29,40944,France,,Java,JavaScript,CSS,,,,Ruby,SQL,,,,,HTML5,,,I enjoy going to work,Mac OS X,Mature Small Business (25-100)
20-24,40944,India,"<$20,000",Java,,,,,,,SQL,,,,,,,,Its a paycheck,Windows 7,"Fortune 1000 (1,000+)"
25-29,41070,Other Europe,"$60,000 - $80,000",Java,JavaScript,CSS,,,,,SQL,,,,,,,,Its a paycheck,Windows 7,Mid Sized (100-999)
40-50,11,Canada,"$60,000 - $80,000",Java,JavaScript,CSS,PHP,,,,SQL,,C++,C,,HTML5,,,Its a paycheck,Windows 7,Start Up (1-25)
25-29,11,United States of America,"$120,000 - $140,000",,JavaScript,,PHP,,,,SQL,,,,,HTML5,,,I enjoy going to work,Mac OS X,Start Up (1-25)
20-24,<2,India,"<$20,000",,,CSS,,Python,,,,C#,C++,,,,,,Its a paycheck,Windows XP,Mature Small Business (25-100)
25-29,40944,United States of America,"$40,000 - $60,000",,,CSS,PHP,Python,,,SQL,C#,C++,C,Perl,HTML5,,,I'm not happy in my job,Windows 7,Mature Small Business (25-100)
20-24,40944,Netherlands,Student / Unemployed,Java,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,,I enjoy going to work,Mac OS X,Student
25-29,<2,Germany,"<$20,000",,,,,Python,,,,,C++,C,,,,,Love my job,Linux,Student
< 20,<2,United States of America,Student / Unemployed,,JavaScript,CSS,,,,,,C#,C++,C,,,,"VB.NET, HTML/XML",I wish I had a job!,Windows XP,Student
25-29,<2,India,"<$20,000",Java,,,,,,,SQL,,C++,C,,,,,Love my job,Windows 7,Mature Small Business (25-100)
30-34,40944,United Kingdom,"$20,000 - $40,000",Java,,CSS,PHP,Python,,,SQL,C#,,,,,,,I enjoy going to work,Linux,Start Up (1-25)
25-29,40944,Other Europe,"<$20,000",,JavaScript,,,,Objective-C,,SQL,C#,,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
30-34,41070,United States of America,,Java,JavaScript,CSS,PHP,,,,SQL,,C++,,,,,,Love my job,Windows XP,Mature Small Business (25-100)
25-29,40944,Other Europe,Rather not say,Java,,,,,,,,,C++,,,,,,Love my job,Linux,"Other (not working, consultant, etc.)"
51-60,11,United States of America,Rather not say,,JavaScript,CSS,,,,Ruby,,,,,,HTML5,,,Its a paycheck,Mac OS X,Mid Sized (100-999)
51-60,11,United Kingdom,Rather not say,,,CSS,PHP,,,,,,,,Perl,,,,Its a paycheck,Linux,"Fortune 1000 (1,000+)"
25-29,40944,United States of America,"$40,000 - $60,000",Java,,,,,,,,,,,,,,Visual Basic for Applications,Love my job,Windows XP,"Fortune 1000 (1,000+)"
