string_field_1,string_field_4,string_field_0,string_field_105,string_field_8,string_field_9,string_field_10,string_field_11,string_field_12,string_field_13,string_field_14,string_field_15,string_field_16,string_field_17,string_field_18,string_field_19,string_field_20,string_field_21,string_field_22,string_field_23,string_field_24,string_field_25,string_field_26,string_field_27,string_field_28,string_field_29,string_field_30,string_field_31,string_field_32,string_field_33,string_field_34,string_field_35,string_field_36,string_field_37,string_field_38,string_field_39,string_field_40,string_field_41,string_field_42,string_field_43,string_field_44,string_field_45,string_field_46,string_field_47,string_field_48,string_field_49,string_field_50,string_field_109,string_field_2,string_field_6
25-29,2 - 5 years,United States,"$80,000 - $100,000",,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,Python,,,,,,,,,,,,,,,,I'm neither satisfied nor dissatisfied with my job,Male,Mac OS X
30-34,11+ years,Germany,Rather not say,Android,,AngularJS,,,,,Cassandra,,,,,Dart,,Go,,,,Java,JavaScript,,,MongoDB,Node.js,,,PHP,Python,,,,,,,,Spark,,,,,,,,I'm neither satisfied nor dissatisfied with my job,Male,Other Linux
30-34,6 - 10 years,Australia,"$40,000 - $60,000",,,,,,,,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,,,,,,,,I love my job,Male,Windows 7
35-39,11+ years,Poland,,Android,,,C,C++,C++11,C#,,,Cordova,,,,,,,,iOS,Java,JavaScript,,Matlab,MongoDB,,Objective-C,,,,,,,,,,,,SQL,,,,,,,I'm neither satisfied nor dissatisfied with my job,Male,Mac OS X
30-34,11+ years,Germany,"$80,000 - $100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,SQL,SQL Server,,,,,,I love my job,Male,Ubuntu
30-34,6 - 10 years,Canada,"$120,000 - $140,000",,,,,,,,Cassandra,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,Hadoop,,,,,,,,,,,,,,,,,,,,,,,,,,,,I love my job,Male,Mac OS X
< 20,2 - 5 years,United Kingdom,Unemployed,Android,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,Ruby,,,,,,,,,,,,,,Male,Windows 8
20-24,6 - 10 years,Ireland {Republic},"$80,000 - $100,000",,,,C,,,,,,,,,,,,,,iOS,Java,,,,,,Objective-C,,,,,,Ruby,,,,,,,,Swift,,,,,,Male,Mac OS X
25-29,1 - 2 years,Uganda,,Android,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,Python,,,Ruby,,,,,,,,,,,,,,Male,Windows 8
20-24,2 - 5 years,Russian Federation,"$60,000 - $80,000",Android,,,C,,,,,,,,,,,,,,iOS,,,,,,,,,,,,,Ruby,,,,,,,,,,,,,I love my job,Male,Mac OS X
Prefer not to disclose,6 - 10 years,Bulgaria,,Android,,,,,,,,,,,,,,,,,iOS,Java,,,,,,Objective-C,,,,,,,,,,,,,,,,,,,I love my job,Male,Mint
20-24,Less than 1 year,Egypt,"Less than $20,000",Android,,,C,,,C#,,,,,,,,,,,,Java,JavaScript,LAMP,Matlab,,,Objective-C,,PHP,,,,,,,,,,SQL,,,Visual Basic,,,,,Male,Mac OS X
20-24,2 - 5 years,Armenia,,,,,C,C++,,,,,,,,,,,,,iOS,,,,,,,Objective-C,,,,,,,,,,,,,,,,,,,,Male,Mac OS X
25-29,2 - 5 years,N/A,,Android,,,,,,C#,,,,,,,,,,,iOS,Java,JavaScript,,,,,Objective-C,,PHP,,,,,,,,,,SQL,,,,,,,I'm somewhat satisfied with my job,Male,Mac OS X
35-39,6 - 10 years,Poland,"$20,000 - $40,000",,,,,,,,,,,,,,,,,,iOS,,JavaScript,,,,,Objective-C,,PHP,,,,,,,,,,,,Swift,,,Wordpress,,I'm somewhat satisfied with my job,Male,Mac OS X
30-34,6 - 10 years,Australia,,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Windows 8
20-24,2 - 5 years,Russian Federation,Rather not say,Android,,,,,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,Perl,,,,,,,,,,,,,,,,,,,Male,Windows 7
20-24,1 - 2 years,India,"Less than $20,000",,,,,,C++11,C#,,,,,,,,,,,,,JavaScript,,,,,,,,Python,,,,,,,,,,,,,,,,I love my job,Male,Ubuntu
25-29,2 - 5 years,Serbia,"Less than $20,000",Android,Arduino / Raspberry Pi,,C,C++,,,,,Cordova,,,,,,,,iOS,Java,JavaScript,,,,Node.js,Objective-C,,PHP,,,,,,,,,,SQL,,,,,Wordpress,,I'm somewhat satisfied with my job,Male,Mac OS X
25-29,6 - 10 years,Australia,,,,,,,,C#,,,,,,,,,,,iOS,,,,,,,,,PHP,,,,,,,,,,,,,,,,,,Male,Mac OS X
25-29,1 - 2 years,Russian Federation,"Less than $20,000",Android,,,,C++,,C#,,,,,"Cloud (AWS, GAE, Azure, etc.)",,F#,,,,iOS,,JavaScript,,,,Node.js,,,,,,,,,,,,,,,,,Windows Phone,,,,Male,
20-24,2 - 5 years,Sweden,Rather not say,Android,,,,,,,,,,,,,,,,,iOS,,JavaScript,,,,,Objective-C,,,,,,,,,,,,SQL,,,,,,,,Male,Mac OS X
25-29,6 - 10 years,Netherlands,"Less than $20,000",Android,,AngularJS,,,,C#,,,Cordova,,,,,,,,,,,LAMP,,,Node.js,,,PHP,,,,,,,,,,SQL,,,,,,,I'm somewhat satisfied with my job,Male,Windows 7
< 20,2 - 5 years,Italy,"$20,000 - $40,000",Android,Arduino / Raspberry Pi,,,,,C#,,,,,,,,,,,iOS,,JavaScript,,,,,Objective-C,,PHP,,,,,,,,,,SQL,SQL Server,,,,Wordpress,,,Male,
30-34,6 - 10 years,Croatia,"Less than $20,000",Android,,,,,,,,,,,,,,,,,iOS,Java,,,,,,Objective-C,,,,,,Ruby,,,,,,,,,,,,,I'm neither satisfied nor dissatisfied with my job,Female,Mac OS X
25-29,2 - 5 years,India,"Less than $20,000",Android,,,C,C++,,,,,Cordova,,,,,,,,iOS,Java,JavaScript,,,,,Objective-C,,PHP,,,,Ruby,,,,,,SQL,,,,,,,I love my job,Male,Mac OS X
20-24,1 - 2 years,India,,Android,,,C,C++,,C#,,,,,,,,,,,iOS,Java,,,Matlab,,,Objective-C,,PHP,,,,,,Salesforce,,,,,,Swift,,,,,,Male,Mac OS X
25-29,2 - 5 years,Czech Republic,,Android,,,,C++,,,,,,,,,,,,,iOS,Java,,,,,,,,,,,,,,,,,,SQL,,Swift,,,,,I'm somewhat satisfied with my job,Male,Ubuntu
25-29,2 - 5 years,Egypt,,Android,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Windows 8
25-29,1 - 2 years,India,Rather not say,,,,,,,C#,,,Cordova,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,,I love my job,Male,Mac OS X
25-29,6 - 10 years,Japan,"$20,000 - $40,000",,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,Objective-C,,,,,,,,,,,,,,,,,,,I'm neither satisfied nor dissatisfied with my job,Male,Windows 7
25-29,6 - 10 years,Spain,"$20,000 - $40,000",Android,,,,C++,,C#,,,,,,,,,,,,,,,,,,Objective-C,,,,,,,,,,,,,,,,,,,I'm neither satisfied nor dissatisfied with my job,Male,Windows 7
< 20,2 - 5 years,Spain,Unemployed,Android,,,C,C++,,C#,,,,,,,,,,,,Java,,,,,,,,PHP,,,,,,,,,,SQL,,,Visual Basic,,,,I'm somewhat satisfied with my job,Male,Windows 8
25-29,6 - 10 years,Spain,Rather not say,Android,,,,,,,,,,,,,,,,,iOS,Java,,,,,,Objective-C,,,,,,,,,,,,,,,,Windows Phone,,,I love my job,Female,Mac OS X
20-24,2 - 5 years,Turkey,"$40,000 - $60,000",Android,,,C,C++,,,,,,,,,,,,,iOS,Java,,LAMP,,,,Objective-C,,PHP,,,,,,,,,,SQL,,,,,,,,Male,Mac OS X
25-29,6 - 10 years,Uruguay,"Less than $20,000",,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I'm somewhat satisfied with my job,Male,Windows 7
40-50,11+ years,United States,,Android,,,,C++,C++11,,,,,,,,,,,,iOS,,,,,,,,,,,,,,,,,,,,,,,,,,I love my job,Male,Windows 7
20-24,1 - 2 years,United States,"$40,000 - $60,000",,,,,,,,,,,,,,,,,,,,,,,,,Objective-C,,,,,,,,,,,,,,,,,,,I love my job,Male,Mac OS X
25-29,1 - 2 years,Russian Federation,,,,,,,,C#,,,,,,,,,,,iOS,,,,,,,Objective-C,,,,,,,,,,,,,,,,Windows Phone,,,,Male,Mac OS X
20-24,2 - 5 years,India,,Android,,,,,,,,,Cordova,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,,,,,,,,,Female,Ubuntu
20-24,1 - 2 years,India,,,,,,,,,,,,,,,,,,,iOS,Java,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,,I'm neither satisfied nor dissatisfied with my job,Female,Mac OS X
25-29,1 - 2 years,Saudi Arabia,Unemployed,,,,,,,,,,,,,,,,,,iOS,,,,,,,Objective-C,,,Python,,,,,,,,,,,,,,,,I love my job,Male,Mac OS X
20-24,Less than 1 year,India,"Less than $20,000",Android,,,,C++,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,,I'm somewhat dissatisfied with my job,Female,Windows 7
30-34,11+ years,Russian Federation,"$40,000 - $60,000",Android,,,C,C++,C++11,,,,,,,,,,,,iOS,Java,,,,,,Objective-C,,,,,,,,,,,,,,,,,,ActionScript,I love my job,Male,Windows 7
< 20,1 - 2 years,N/A,,Android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I'm somewhat satisfied with my job,Male,Windows 8
20-24,2 - 5 years,India,,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,,,Male,Windows 7
< 20,1 - 2 years,Germany,Unemployed,Android,,,,C++,,C#,,,,,,,,,,,iOS,Java,JavaScript,,,,,Objective-C,,PHP,Python,,,,,,,,,SQL,SQL Server,,,,,,,Male,Mac OS X
20-24,1 - 2 years,New Zealand,Rather not say,Android,,,,,,,,,,,,,,,,,iOS,Java,,,,,,,,,,,,,,,,,,,,Swift,,,,,I'm somewhat satisfied with my job,Male,Mac OS X
20-24,2 - 5 years,India,"Less than $20,000",Android,,,,,,,,,,,,,,,,,iOS,,,,,,,Objective-C,,,,,,,,,,,,,,,,,,,I love my job,Male,Fedora
20-24,1 - 2 years,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Windows 8
35-39,11+ years,United States,,Android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Windows 8
25-29,6 - 10 years,United States,,Android,,,C,,C++11,C#,,,,,,,,,,,iOS,Java,JavaScript,,,,Node.js,Objective-C,,,,,,,,,,,,SQL,SQL Server,,,,,,,Male,Mac OS X
25-29,6 - 10 years,United Kingdom,,Android,,,,,,,,,,,,,,,,,iOS,Java,JavaScript,,,,Node.js,Objective-C,,PHP,,,,,,,,,,SQL,,,,,Wordpress,,,Male,Mac OS X
25-29,2 - 5 years,Mexico,"$20,000 - $40,000",Android,,,,,,,,,,,,,,,,,iOS,Java,JavaScript,,,,,Objective-C,,PHP,,,,,,,,,,SQL,,,,,,,I'm somewhat satisfied with my job,Male,Mac OS X
< 20,1 - 2 years,Belgium,,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,Swift,,,,,,Male,Mac OS X
< 20,2 - 5 years,United States,"$40,000 - $60,000",Android,,,,,,C#,,,Cordova,,,,,,,,iOS,Java,JavaScript,,,,,Objective-C,,,,,,,,,,,,SQL,SQL Server,,,,,,I'm somewhat satisfied with my job,Male,Windows 7
25-29,6 - 10 years,Poland,,Android,,,,C++,C++11,C#,,,,,,,,,,,iOS,Java,,,,,,Objective-C,,,,,,Ruby,,,,,,,,,,Windows Phone,,Lua,,Male,Windows 8
30-34,2 - 5 years,India,,Android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I love my job,Male,Windows 8
20-24,2 - 5 years,Belgium,Unemployed,Android,,,,,,C#,,,,,,,,,,Haskell,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,,,Male,Mac OS X
25-29,2 - 5 years,Hungary,Rather not say,Android,,,,,,,,,,,,,,,,,iOS,Java,,,,,,Objective-C,,,,,,,,,,,,,,,,,,,I'm somewhat satisfied with my job,Male,Mac OS X
25-29,6 - 10 years,United States,"$60,000 - $80,000",Android,,,,C++,,C#,,,,,,,,,,,,,JavaScript,,,MongoDB,,,,,,,,,,,,,,,,,,,,,I love my job,Male,Mac OS X
25-29,2 - 5 years,Norway,,,,,,,,C#,,,Cordova,,,,,,,Haskell,,,JavaScript,,,,,,,,Python,,,,,,,,,,,,,,,ABAP,,Male,Windows 7
25-29,2 - 5 years,N/A,"Less than $20,000",,,,,,,,,,,,,,,,,,iOS,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,
25-29,2 - 5 years,India,,Android,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,SQL,,,,,,,,Male,Windows 8
20-24,2 - 5 years,Germany,Rather not say,Android,Arduino / Raspberry Pi,,,C++,,C#,,,,,,,,,,,iOS,Java,,,,,,,,,Python,,,,,,,,,SQL,,,,,,,,Male,Windows 8
20-24,2 - 5 years,United States,"$60,000 - $80,000",Android,,AngularJS,,,,,,,,,,,,,,,iOS,Java,JavaScript,,,,Node.js,Objective-C,,,,,,,,,,,,,,Swift,,,,,I love my job,Male,Mac OS X
20-24,2 - 5 years,Russian Federation,"Less than $20,000",,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I love my job,Male,Windows 8
20-24,1 - 2 years,Netherlands,"$20,000 - $40,000",Android,,,,,,C#,,,,,,,,,,,iOS,Java,,,,,,Objective-C,,,,,,,,,,,,,,,,,,,I love my job,Male,Windows 8
20-24,2 - 5 years,India,,Android,,,C,C++,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Ubuntu
40-50,11+ years,United Kingdom,,Android,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Windows 8
30-34,6 - 10 years,Singapore,"$60,000 - $80,000",,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I'm somewhat satisfied with my job,Male,Mac OS X
25-29,1 - 2 years,Portugal,"Less than $20,000",Android,,,,,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,,,,,,,,I'm somewhat satisfied with my job,Male,Windows 7
20-24,2 - 5 years,Germany,"Less than $20,000",Android,,,,,,,,,,,,,,,,,iOS,Java,JavaScript,,,,,Objective-C,,,,,,,,,,,,,,,,,,,,Male,Mac OS X
20-24,1 - 2 years,Philippines,"Less than $20,000",,,,,,,,,,,,,,,,,,,,,,,,Node.js,,,PHP,Python,,,,,,,,,,,,,,,,,Male,Ubuntu
25-29,6 - 10 years,United Kingdom,"$80,000 - $100,000",Android,,,,C++,,,,,,,,,,,,,,Java,,,,,,Objective-C,,PHP,,,,,,,,,,SQL,,,,,,,I love my job,Male,Mac OS X
30-34,6 - 10 years,United States,"$60,000 - $80,000",Android,,,,,,C#,,,,,,,,,,,iOS,,,,,,,,,,,,,,,,,,,,,,,,,,I love my job,Male,Windows 8
35-39,11+ years,Sweden,"$100,000 - $120,000",Android,Arduino / Raspberry Pi,,C,C++,,C#,,,,,,,,,,,iOS,Java,JavaScript,,,MongoDB,,,,,,,,,,,,,,,,,,,,,I love my job,Male,Windows 7
20-24,6 - 10 years,Pakistan,,Android,Arduino / Raspberry Pi,AngularJS,C,C++,C++11,C#,,,,,,,,,,,,Java,JavaScript,,,MongoDB,Node.js,Objective-C,Perl,PHP,Python,,,Ruby,,,,,,SQL,,,,,Wordpress,,,Male,Windows 8
25-29,6 - 10 years,Egypt,"Less than $20,000",Android,,,,C++,,C#,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,,,,,Windows Phone,,,I'm somewhat dissatisfied with my job,Male,Windows 8
20-24,1 - 2 years,Spain,,Android,,,,,,,,,,,,,,,,,iOS,Java,,,,,,,,PHP,,,,,,,,,,,,,,,,,,Male,Mac OS X
,2 - 5 years,N/A,"$20,000 - $40,000",Android,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows Phone,,,I love my job,,Windows 7
20-24,1 - 2 years,Costa Rica,"$20,000 - $40,000",Android,,,,,,,,,,,,,,,,,iOS,,JavaScript,,,,,Objective-C,,,,,,,,,,,,,,Swift,,,,,I'm somewhat satisfied with my job,Male,Mac OS X
20-24,Less than 1 year,India,Unemployed,Android,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,SQL,,,,,,,I love my job,Male,Mac OS X
35-39,11+ years,Italy,,,,,,,,,,,,,,,,,,,iOS,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Windows 8
30-34,6 - 10 years,Germany,,Android,,,,,,,,,,,,,,,,,iOS,,JavaScript,,,,Node.js,Objective-C,,PHP,,,,,,,,,,SQL,,,,,,,,Male,Mac OS X
20-24,2 - 5 years,Russian Federation,"$20,000 - $40,000",Android,,,,,,C#,,,,,,,,,,,iOS,Java,,,,,,Objective-C,,,,,,,,,,,,SQL,,,,,,,I love my job,Male,Mac OS X
25-29,1 - 2 years,India,"Less than $20,000",,,,,,,,,,Cordova,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,,,,Male,Windows 7
25-29,6 - 10 years,Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Basic,Windows Phone,,,,Male,Windows 8
20-24,1 - 2 years,United Kingdom,Rather not say,,,,,,,,,,,,,,,,,,iOS,,JavaScript,,,,,Objective-C,,PHP,,,,,,,,,,SQL,SQL Server,,,,,,,Male,Mac OS X
20-24,2 - 5 years,India,"$20,000 - $40,000",Android,,AngularJS,C,C++,,,,,,,,,,,,,,,,,,,,,,PHP,Python,,,,,,,,,SQL,,,,,Wordpress,,,Male,Windows 7
25-29,2 - 5 years,Germany,"$60,000 - $80,000",Android,,,,,,,,,Cordova,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,iOS,Java,JavaScript,,,,,Objective-C,,,,,,,,,,,,,,,,,,,I'm neither satisfied nor dissatisfied with my job,Male,Windows 7
20-24,Less than 1 year,India,"Less than $20,000",Android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I'm neither satisfied nor dissatisfied with my job,Female,Windows 7
20-24,1 - 2 years,India,"Less than $20,000",Android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I'm somewhat satisfied with my job,Male,Windows 7
20-24,2 - 5 years,Poland,,Android,Arduino / Raspberry Pi,,,,,C#,,,,,,,,,,,iOS,Java,JavaScript,,,,,Objective-C,,,,,,,,,,,,,,Swift,,,,,I love my job,Male,Mac OS X
30-34,6 - 10 years,Korea South,"$60,000 - $80,000",Android,,,,C++,C++11,C#,,,,,,,,,,,iOS,,,,,,,,,,Python,,,,,,,,,,,,,,,,,Male,Windows 8
20-24,2 - 5 years,United States,"Less than $20,000",,,,,,,,,,,,,,,,,,iOS,,JavaScript,,,MongoDB,Node.js,Objective-C,,,Python,,,,,,,,,,,,,,,,,Male,Mac OS X
25-29,2 - 5 years,Bangladesh,"Less than $20,000",Android,,,C,,,,,,,,,,,,,,iOS,,JavaScript,,,,,Objective-C,,,,,,,,,,,,,SQL Server,,,,,,I love my job,Male,Mac OS X
20-24,Less than 1 year,India,,Android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Windows 7
< 20,2 - 5 years,Russian Federation,"Less than $20,000",Android,Arduino / Raspberry Pi,,,C++,,C#,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,Windows Phone,,,,Male,Windows 8
25-29,2 - 5 years,India,"Less than $20,000",Android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I love my job,Male,Ubuntu
25-29,2 - 5 years,Canada,,Android,,,,,,C#,,,,,,,,,,,iOS,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Windows 7
25-29,2 - 5 years,Spain,"$20,000 - $40,000",Android,,,,,,,,,,,,,,,,,iOS,Java,,,,,,Objective-C,,,,,,,,,,,,,,,,,,,I love my job,Male,Mac OS X
25-29,2 - 5 years,Austria,Rather not say,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,Objective-C,,,,,,,,,,,,,,,,,,,I love my job,Male,Mac OS X
20-24,2 - 5 years,Germany,,Android,,,,,,,,,,,,,,,,,,Java,,,,MongoDB,Node.js,Objective-C,,,,,,,,,,,,SQL,,Swift,,,,,I love my job,Male,Windows 8
40-50,11+ years,United Kingdom,,Android,,,,,,,,,,,,,,,,,iOS,,JavaScript,,,,,Objective-C,,,,,,,,,,,,,,,,,,,,Male,Mac OS X
35-39,11+ years,United States,"$100,000 - $120,000",,,AngularJS,,,,,,,,,,,,,,,,,JavaScript,,,,Node.js,,,,,,,,,,,,,SQL,,,,,,,I'm neither satisfied nor dissatisfied with my job,Female,Windows 7
35-39,11+ years,United Kingdom,"$80,000 - $100,000",Android,,,,,,C#,,,,,,,F#,,,,iOS,,,,,,,,,,,,,,,,,,,,,,,,,,I love my job,Male,Mac OS X
30-34,6 - 10 years,Germany,Rather not say,Android,,,,,,,,,,,,,,,,,iOS,Java,,,,,,Objective-C,,PHP,,,,,,,,,,SQL,,,,,,,I'm somewhat satisfied with my job,Male,Mac OS X
25-29,2 - 5 years,Vietnam,"$20,000 - $40,000",Android,,,C,C++,C++11,,,,,,,,,,,,iOS,,,,,,,Objective-C,,,Python,,,,,,,,,SQL,,Swift,,,,,I love my job,Male,Mac OS X
25-29,2 - 5 years,United States,"$40,000 - $60,000",Android,,,,,,,,,,,,,,,,,iOS,Java,,,,,,Objective-C,,PHP,,,,,,,,,,SQL,,,,,Wordpress,,I love my job,Male,
20-24,1 - 2 years,United Kingdom,"$40,000 - $60,000",Android,,,,,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,,I love my job,Female,Mac OS X
30-34,2 - 5 years,Germany,"$20,000 - $40,000",Android,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,Wordpress,,I'm somewhat dissatisfied with my job,Male,Mac OS X
25-29,6 - 10 years,Thailand,"$40,000 - $60,000",Android,,,,,,C#,,,,,,,,,,,iOS,Java,JavaScript,,,,,Objective-C,,,,,,,,,,,,,,Swift,,,Wordpress,,I love my job,Male,Mac OS X
35-39,11+ years,United Kingdom,Rather not say,Android,,,,,,,,,,,,,,,,,iOS,Java,,,,,,Objective-C,,,Python,,,,,,,,,SQL,,,,,,,I'm somewhat satisfied with my job,Male,Mac OS X
20-24,2 - 5 years,Belarus,Rather not say,Android,,,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,iOS,Java,,,,,,Objective-C,,,,,,,,,,,,,,,,,,,I love my job,Male,Mac OS X
20-24,6 - 10 years,Germany,Rather not say,Android,,,,,,C#,,,,,,,,,,,iOS,Java,JavaScript,,,MongoDB,Node.js,Objective-C,,PHP,,,,Ruby,,,,,,SQL,SQL Server,Swift,,,,,I love my job,Male,Mac OS X
20-24,6 - 10 years,United Kingdom,"$40,000 - $60,000",Android,,,,,,,,,,,,,,,,,iOS,Java,,,,,,Objective-C,,,,,,,,,,,,,,,,,,,I'm neither satisfied nor dissatisfied with my job,Male,Windows 8
25-29,2 - 5 years,Romania,"Less than $20,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LUA,I love my job,Male,Windows 7
35-39,6 - 10 years,Norway,,Android,,,,,,C#,,,,,,,,,,,iOS,,JavaScript,,,,Node.js,,,,,,,,,,,,,,,,,,,,I love my job,Male,Windows 8
25-29,2 - 5 years,Spain,"Less than $20,000",Android,Arduino / Raspberry Pi,AngularJS,,C++,,C#,,CoffeeScript,Cordova,,,,,,,,iOS,Java,JavaScript,,,MongoDB,Node.js,Objective-C,,PHP,Python,,,,,,,,,,,Swift,,Windows Phone,,,I'm somewhat satisfied with my job,Male,Windows 8
25-29,2 - 5 years,Turkey,Unemployed,Android,,,,,,,,,,,,,,,,,iOS,Java,JavaScript,,,,,Objective-C,,PHP,,,,,,,,,,SQL,,Swift,,,,,I love my job,Male,Mac OS X
20-24,6 - 10 years,United States,"$120,000 - $140,000",Android,Arduino / Raspberry Pi,,,,,C#,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,Java,JavaScript,,,,,Objective-C,,,Python,,,Ruby,,,,,,,,Swift,,,Wordpress,,I love my job,Male,Mac OS X
20-24,2 - 5 years,Belgium,"$20,000 - $40,000",Android,,,,,,,,,,,,,,,,,iOS,Java,,,,,,Objective-C,,,,,,,,,,,,,,,,,,,I'm somewhat satisfied with my job,Male,Windows 8
20-24,6 - 10 years,Romania,Rather not say,,,,,C++,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I love my job,Male,Windows 8
25-29,2 - 5 years,Germany,Rather not say,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,,,,,,,,,Male,Windows 8
51-60,11+ years,United States,Rather not say,Android,Arduino / Raspberry Pi,,,C++,C++11,C#,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,iOS,Java,JavaScript,LAMP,,,,Objective-C,,PHP,Python,,,,,,,,,SQL,SQL Server,Swift,Visual Basic,,Wordpress,,I'm somewhat satisfied with my job,Male,Mac OS X
30-34,6 - 10 years,Italy,"$40,000 - $60,000",Android,,,,,,,,,,,,,,,,,iOS,Java,JavaScript,,,,,Objective-C,,,Python,,,,,,,,,,,Swift,,,,,I'm somewhat dissatisfied with my job,Male,Mac OS X
20-24,1 - 2 years,Brazil,Rather not say,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lua,I love my job,Male,Windows 7
20-24,2 - 5 years,United States,Rather not say,Android,Arduino / Raspberry Pi,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,,I'm somewhat satisfied with my job,Male,Windows 8
25-29,6 - 10 years,India,"Less than $20,000",,,,,,,,,,,,,,,,,,iOS,Java,,,,,,Objective-C,,,,,,,,,,,,,,,,,,,I'm somewhat satisfied with my job,Male,Mac OS X
20-24,Less than 1 year,India,"Less than $20,000",Android,,,C,C++,,C#,,,,,,,,,,,iOS,,,,,,,Objective-C,,PHP,Python,,,,,,,,,SQL,SQL Server,Swift,,,,,I love my job,Male,Windows 8
25-29,Less than 1 year,Romania,"Less than $20,000",,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I'm somewhat satisfied with my job,Male,Mac OS X
< 20,2 - 5 years,Poland,Unemployed,Android,Arduino / Raspberry Pi,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,Python,,,,,,,,,,,,,,Wordpress,,,Male,Ubuntu
20-24,Less than 1 year,India,Rather not say,Android,,AngularJS,C,C++,,C#,,,,,,,,,,,iOS,Java,JavaScript,,Matlab,,,Objective-C,,,,,,,,,,,,,,,,Windows Phone,,,I'm somewhat satisfied with my job,Male,Windows 8
20-24,2 - 5 years,Mexico,"Less than $20,000",Android,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,,,I'm neither satisfied nor dissatisfied with my job,Male,Windows 7
