string_field_3,string_field_5,string_field_0,string_field_7,string_field_42,string_field_43,string_field_44,string_field_45,string_field_46,string_field_47,string_field_48,string_field_49,string_field_50,string_field_51,string_field_52,string_field_53,string_field_4,string_field_67,string_field_9
25-29,2/5/2014,India,Rather not say,,,C#,Java,JavaScript,,,,,,,,Female,Windows 7,31-50
35-39,11,United States,"$80,000 - $100,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,31-50
20-24,2/5/2014,Bulgaria,"<$20,000",,,,Java,,,,,,Ruby,,,Male,Windows 7,100
20-24,<2,India,"<$20,000",,,,Java,,,Objective-C,PHP,,,,,Male,Mac OS X,6/15/2014
20-24,6/10/2014,Netherlands,Student / Unemployed,C,C++,C#,Java,,,,,,,,Assembly,Male,Windows 7,1/5/2014
20-24,2/5/2014,Taiwan,Student / Unemployed,C,C++,C#,,,,,,,,,,Female,Windows XP,
< 20,2/5/2014,United Kingdom,Student / Unemployed,,C++,C#,Java,,,,,,,,,Male,Windows 7,6/15/2014
20-24,2/5/2014,Brazil,Student / Unemployed,,C++,,Java,,,,,Python,,,,Male,Windows 7,1/5/2014
20-24,2/5/2014,Russia,Student / Unemployed,,,,,,,,,Python,,,,Male,Debian,
< 20,2/5/2014,United States,Student / Unemployed,,,,Java,JavaScript,,,,Python,,,,Male,Linux,
25-29,<2,United Kingdom,"$20,000 - $40,000",,,C#,Java,JavaScript,,,,,,,,Female,Windows XP,31-50
30-34,2/5/2014,Germany,"$60,000 - $80,000",,,,Java,JavaScript,,,,,Ruby,SQL,,Male,Mint,100
25-29,<2,United States,"<$20,000",,,,Java,JavaScript,Node.js,,PHP,,,SQL,,Male,Windows 7,1/5/2014
30-34,6/10/2014,France,"$40,000 - $60,000",,,,Java,,,,,,,,IBM SQL PL,Male,Mac OS X,6/15/2014
30-34,2/5/2014,Australia,"$20,000 - $40,000",,,,,JavaScript,,,,Python,,,,Male,Windows 7,1/5/2014
20-24,2/5/2014,United States,"$60,000 - $80,000",,,,Java,,,,,,,,,Male,Windows 7,100
20-24,<2,Bulgaria,Rather not say,C,,,Java,JavaScript,,,,,,,,Male,Debian,100
30-34,6/10/2014,Argentina,"<$20,000",,,C#,Java,JavaScript,,,PHP,,,SQL,Smalltalk,Male,Windows 7,100
25-29,2/5/2014,India,"<$20,000",C,C++,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,100
20-24,2/5/2014,United States,"$40,000 - $60,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,6/15/2014
25-29,<2,Russia,"<$20,000",,,,,JavaScript,,,,Python,,,,Male,Linux,6/15/2014
25-29,2/5/2014,India,Rather not say,,,,Java,JavaScript,,,,,,,"jquery, xsl, xml",Male,Ubuntu,100
25-29,2/5/2014,Romania,"$20,000 - $40,000",,,C#,,JavaScript,,,,,,,,Male,Windows 7,50-100
30-34,6/10/2014,Malaysia,"$40,000 - $60,000",,,,Java,JavaScript,,,,,,SQL,Clojure,Male,Other,100
20-24,2/5/2014,United States,"$40,000 - $60,000",,,C#,,,,,,,,SQL,Powershell,Male,Windows 7,6/15/2014
40-50,11,Sweden,"$100,000 - $120,000",,,C#,,,,,,,,SQL,VB.Net,Male,Windows 7,6/15/2014
20-24,<2,India,"<$20,000",,,,,,,,,,,SQL,,Male,Windows 7,31-50
20-24,2/5/2014,Israel,"$60,000 - $80,000",,,C#,,,,,,Python,,,,Male,Windows 8,100
25-29,6/10/2014,Vietnam,Rather not say,C,C++,,,,,Objective-C,,,,SQL,,Male,Mac OS X,6/15/2014
20-24,2/5/2014,Austria,"$60,000 - $80,000",C,,,Java,JavaScript,,,,,,,,Male,Linux,16-30
25-29,<2,Mexico,"$20,000 - $40,000",,,C#,,,,,,Python,,SQL,,Male,Windows 7,16-30
51-60,11,United States,Student / Unemployed,C,C++,,,,,,,Python,Ruby,SQL,"Prolog, Lua",Male,Windows 7,1/5/2014
25-29,2/5/2014,Italy,"$20,000 - $40,000",,,,,JavaScript,,,PHP,Python,,,,Female,Linux,1/5/2014
20-24,2/5/2014,United States,"<$20,000",,,,Java,,,,,Python,,,,Female,Windows 7,
< 20,<2,United States,Student / Unemployed,,C++,,Java,JavaScript,Node.js,,,Python,,,,Male,Ubuntu,
20-24,2/5/2014,United States,Student / Unemployed,C,,,,JavaScript,,,,Python,,,,Male,Windows 7,
20-24,<2,Dominican Republic,,C,,,,JavaScript,,,,Python,,,,Male,Debian,
25-29,6/10/2014,Austria,"<$20,000",C,,,Java,JavaScript,,,,Python,,,,Male,Windows 7,1/5/2014
20-24,2/5/2014,Canada,"$40,000 - $60,000",,,,,,,,,Python,,,,Female,Ubuntu,6/15/2014
20-24,<2,France,Student / Unemployed,,,,Java,JavaScript,Node.js,,,Python,,,,Male,Ubuntu,
35-39,6/10/2014,United States,"$40,000 - $60,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,1/5/2014
20-24,2/5/2014,India,"<$20,000",C,C++,,Java,JavaScript,Node.js,,,Python,,,,Male,Windows 7,100
20-24,2/5/2014,United Kingdom,"$20,000 - $40,000",,,,,JavaScript,,,PHP,,,SQL,,Male,Mac OS X,6/15/2014
20-24,2/5/2014,Canada,"$20,000 - $40,000",,,,,JavaScript,,,PHP,,,SQL,,Male,Windows 7,1/5/2014
25-29,2/5/2014,United Arab Emirates,"$40,000 - $60,000",,,,,JavaScript,Node.js,,,,,,,Male,Linux,50-100
30-34,6/10/2014,Canada,Rather not say,,,,Java,JavaScript,Node.js,,,Python,,SQL,,Male,Mac OS X,100
35-39,11,Norway,"$100,000 - $120,000",,,,,,,,,,,SQL,mdx,Male,Windows 7,100
30-34,6/10/2014,United States,"$60,000 - $80,000",,,,,,Node.js,,,,,SQL,"SAS, VB",Male,Windows 7,50-100
25-29,6/10/2014,United States,"$20,000 - $40,000",C,C++,C#,,,,,,Python,,,,Male,Linux,31-50
25-29,2/5/2014,Kazakhstan,"<$20,000",C,,,Java,,,,,Python,,SQL,,Male,Mint,16-30
51-60,11,France,"$60,000 - $80,000",,C++,,,,,,,,,,"MELT, Ocaml",Male,Linux,100
< 20,2/5/2014,India,Student / Unemployed,,,,,JavaScript,,,,Python,,SQL,Google App Script,Male,Linux,
20-24,2/5/2014,Greece,Student / Unemployed,,C++,C#,Java,,,,,,,,,Male,Windows 7,
20-24,2/5/2014,Germany,Student / Unemployed,,,,Java,,,,,Python,,,Perl,Male,Ubuntu,
25-29,2/5/2014,India,,,,,Java,,,,,,,,,Male,Windows 7,100
30-34,6/10/2014,Sweden,"$40,000 - $60,000",,,,Java,JavaScript,,,,Python,,SQL,plsql,Male,Debian,1/5/2014
25-29,2/5/2014,Tunisia,"<$20,000",,,C#,,JavaScript,,,PHP,,,SQL,,Male,Windows 8,50-100
51-60,11,United States,,,,,Java,JavaScript,,,,,,,,Male,Windows 7,100
20-24,<2,India,"<$20,000",,,,Java,JavaScript,,,,,,SQL,,Male,Ubuntu,31-50
25-29,2/5/2014,Denmark,"$80,000 - $100,000",,,,,JavaScript,Node.js,,,,,,,Male,Windows 8,6/15/2014
25-29,2/5/2014,India,"<$20,000",,,,,JavaScript,,,PHP,Python,,SQL,,Male,Ubuntu,1/5/2014
40-50,11,United Kingdom,"$120,000 - $140,000",,,,Java,,,,,,,SQL,,Male,Linux,1/5/2014
25-29,6/10/2014,United States,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,50-100
35-39,11,United States,"$60,000 - $80,000",,,C#,Java,,,,,,,,PL/SQL,Female,Windows 7,16-30
30-34,6/10/2014,Sri Lanka,Rather not say,,,,Java,,,,,,,,,Male,Ubuntu,100
40-50,11,Canada,"$80,000 - $100,000",,,,Java,JavaScript,,,,,,SQL,,Male,Linux,16-30
25-29,2/5/2014,India,"<$20,000",,,C#,,,,,,,,,,Male,Windows 7,100
35-39,11,Italy,"$40,000 - $60,000",,,C#,,JavaScript,Node.js,,,,,SQL,,Male,Windows 7,1/5/2014
25-29,2/5/2014,Australia,"$40,000 - $60,000",,,,Java,JavaScript,,,PHP,,,,LDAP,Male,Windows 7,1/5/2014
30-34,6/10/2014,France,"$40,000 - $60,000",,,,Java,JavaScript,Node.js,,,Python,,,,Male,Linux,100
25-29,2/5/2014,Sweden,Rather not say,,,C#,,,,,,,,SQL,,Male,Windows 8,16-30
20-24,<2,France,"<$20,000",,,,,JavaScript,,,,Python,,,AngularJS,Male,Mac OS X,1/5/2014
20-24,2/5/2014,Sri Lanka,Student / Unemployed,,,,Java,JavaScript,,,,,,,,Male,Windows 7,
25-29,<2,United States,Student / Unemployed,,C++,C#,,,,,,,,,,Male,Ubuntu,
20-24,6/10/2014,United States,Student / Unemployed,,,,,,,,,Python,,,"Perl, Haskell",Male,Mac OS X,
20-24,2/5/2014,United States,Student / Unemployed,,,C#,,JavaScript,,,PHP,,,SQL,,Male,Windows 7,1/5/2014
30-34,6/10/2014,Spain,"$40,000 - $60,000",,,,Java,,,,,,,,,Male,Mac OS X,100
25-29,2/5/2014,United States,"$80,000 - $100,000",,,,Java,JavaScript,,,,,Ruby,,,Female,Ubuntu,100
40-50,11,New Zealand,Rather not say,,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,6/15/2014
25-29,6/10/2014,Poland,"<$20,000",,,,,JavaScript,,,PHP,,,SQL,,Male,Linux,1/5/2014
51-60,11,United States,"$80,000 - $100,000",,,,Java,JavaScript,,,PHP,,,SQL,,Male,Windows 7,100
51-60,11,United States,"$80,000 - $100,000",,,,Java,JavaScript,,,PHP,,,SQL,,Male,Linux,31-50
30-34,6/10/2014,United Kingdom,"$40,000 - $60,000",,,,Java,JavaScript,,,,Python,,,,Male,Ubuntu,16-30
25-29,<2,Croatia,"<$20,000",,,,,,,,,,,,Groovy,Male,Windows 7,100
40-50,11,United States,"$80,000 - $100,000",,,C#,,,,,,,,SQL,,Male,Windows 8,31-50
30-34,6/10/2014,Poland,"$20,000 - $40,000",,,,,,,,,,,SQL,Informatica PowerCenter,Male,Windows 7,100
30-34,6/10/2014,Canada,"$80,000 - $100,000",,C++,C#,,JavaScript,,,,Python,,SQL,,Male,Windows 7,100
20-24,<2,Russia,"<$20,000",,C++,C#,,,,,,,,,,Male,Windows 8,1/5/2014
25-29,11,Germany,Rather not say,,,C#,Java,JavaScript,,,,,,,,Male,Windows 7,6/15/2014
25-29,11,Germany,"$40,000 - $60,000",C,C++,,,,,,,Python,,,ESDL,Male,Linux,100
30-34,6/10/2014,United Kingdom,"$40,000 - $60,000",,,,,,,,,,,,,Male,Windows 7,31-50
40-50,11,Germany,,,C++,C#,Java,,,,,,,,,Male,Ubuntu,
40-50,11,United Kingdom,Rather not say,,,,Java,JavaScript,,,,,,SQL,,Male,Windows 7,100
25-29,6/10/2014,Germany,"<$20,000",,C++,,,,,,,Python,,,,Female,Mint,16-30
20-24,2/5/2014,United States,Student / Unemployed,,C++,C#,Java,,,,,Python,,,Prolog,Male,Windows 7,
20-24,2/5/2014,United States,"$20,000 - $40,000",C,C++,,Java,JavaScript,,,PHP,Python,,SQL,,Male,Ubuntu,50-100
20-24,<2,India,Student / Unemployed,C,,,Java,,,,,,,SQL,,Male,Windows XP,
< 20,<2,France,Student / Unemployed,,,,,JavaScript,,,PHP,,,SQL,,Male,Mac OS X,
25-29,2/5/2014,United Kingdom,"$40,000 - $60,000",,,C#,,JavaScript,,,,,,,,Male,Windows 7,16-30
30-34,<2,Germany,"<$20,000",,,,,JavaScript,,,PHP,,,,,Male,Mac OS X,6/15/2014
20-24,2/5/2014,India,,,,,Java,JavaScript,,,,,,,,Male,Windows XP,31-50
20-24,6/10/2014,United States,"<$20,000",,,,,JavaScript,,,PHP,,,SQL,,Male,Mac OS X,31-50
25-29,6/10/2014,United Kingdom,"$40,000 - $60,000",,,C#,,JavaScript,,Objective-C,,,,SQL,,Female,Windows 7,1/5/2014
20-24,<2,India,"<$20,000",,,,Java,JavaScript,,,PHP,,,SQL,,Male,Fedora,31-50
25-29,2/5/2014,United States,"$60,000 - $80,000",,,,,JavaScript,,,,,Ruby,,,Male,Mac OS X,50-100
25-29,2/5/2014,Pakistan,Rather not say,,,,,JavaScript,,,,Python,,,"jquery, ajax",Male,Ubuntu,1/5/2014
30-34,6/10/2014,India,Rather not say,,C++,,Java,,,,,,,SQL,,Male,Ubuntu,16-30
< 20,<2,Ukraine,"<$20,000",,,C#,,,,,,,,,,Male,Windows 8,31-50
25-29,6/10/2014,United Kingdom,"$40,000 - $60,000",,C++,C#,,,,,,,,SQL,,Male,Windows 7,31-50
25-29,6/10/2014,Russia,"$20,000 - $40,000",,,C#,,,,,,,,SQL,,Male,Windows 7,100
30-34,11,United States,"$80,000 - $100,000",,,C#,Java,JavaScript,,,,,,SQL,,Male,Windows 7,16-30
25-29,<2,Spain,"<$20,000",,,,Java,,,Objective-C,PHP,,,,,Male,Mac OS X,1/5/2014
30-34,11,Spain,"$20,000 - $40,000",C,,,Java,,,,,,,SQL,Perl,Male,Debian,31-50
25-29,2/5/2014,Sweden,"$40,000 - $60,000",,,C#,,JavaScript,,,,,,,,Male,Windows 8,100
40-50,6/10/2014,United States,"$60,000 - $80,000",C,C++,,Java,,,,,,,,cuda,Male,Windows 7,
20-24,2/5/2014,Brazil,Student / Unemployed,C,C++,,Java,,,,,Python,Ruby,,Lua,Male,Mac OS X,
25-29,<2,Russia,Student / Unemployed,,,,,,,,,,Ruby,SQL,"erlang, xml, sh",Male,Other,1/5/2014
25-29,6/10/2014,Russia,"$40,000 - $60,000",C,C++,,,,,,,Python,,SQL,Go,Male,Mac OS X,100
40-50,11,Sweden,"$60,000 - $80,000",,,,,,,,,Python,,SQL,PL/SQL,Male,Ubuntu,1/5/2014
40-50,11,Germany,Rather not say,,,,,,,,PHP,,,SQL,PL/SQL,Male,Linux,100
< 20,2/5/2014,Germany,Student / Unemployed,,,,,JavaScript,,,PHP,,,,,Male,Mac OS X,1/5/2014
25-29,6/10/2014,Pakistan,"<$20,000",,,C#,,JavaScript,,Objective-C,,,,SQL,,Male,Windows 7,1/5/2014
30-34,6/10/2014,United Kingdom,"$60,000 - $80,000",,,,Java,,,,,,,SQL,Cql,Male,Ubuntu,6/15/2014
25-29,2/5/2014,India,"<$20,000",,C++,C#,,JavaScript,,Objective-C,,,,SQL,Jquery,Male,Windows 7,100
20-24,<2,Romania,"<$20,000",C,C++,,Java,JavaScript,Node.js,,PHP,Python,,SQL,,Male,Linux,50-100
40-50,11,United States,">$140,000",,,,Java,JavaScript,,,,,Ruby,,,Male,Mac OS X,16-30
25-29,2/5/2014,United Kingdom,"$40,000 - $60,000",,C++,,,JavaScript,,,PHP,Python,,SQL,,Female,Ubuntu,50-100
40-50,11,United States,"$120,000 - $140,000",,C++,C#,,JavaScript,,,,,,,,Male,Windows 7,6/15/2014
35-39,11,France,"$60,000 - $80,000",,,,Java,,,,,,,,,Male,Linux,50-100
20-24,6/10/2014,India,"<$20,000",C,C++,C#,Java,,,,,Python,,,,Male,Windows 7,100
25-29,11,United States,">$140,000",,,C#,Java,JavaScript,,Objective-C,,,,,,Male,Mac OS X,50-100
30-34,<2,United Kingdom,"$60,000 - $80,000",,,,Java,,,,,Python,,,,Male,Windows 7,6/15/2014
25-29,2/5/2014,United States,"$40,000 - $60,000",,,C#,Java,JavaScript,,Objective-C,,,,,,Male,Windows 8,1/5/2014
25-29,2/5/2014,Canada,"$40,000 - $60,000",,,,,,,Objective-C,,,,,,Male,Mac OS X,6/15/2014
20-24,<2,Philippines,"<$20,000",,,C#,Java,JavaScript,,,,,,,,Female,Windows 7,100
25-29,6/10/2014,India,"<$20,000",C,,,,,,,,,,,,Male,Ubuntu,100
25-29,11,Czech Republic,"$20,000 - $40,000",,,,,,,,,,,SQL,"PL/SQL, BASH",Male,Debian,100
25-29,2/5/2014,India,"<$20,000",,,,,,,,,,,,"SystemVerilog, Verilog",Male,Linux,100
20-24,<2,United States,Student / Unemployed,,,,Java,,,,,,,,,Male,Mac OS X,
20-24,2/5/2014,Germany,Student / Unemployed,,,,Java,,,,,,,,android SDK,Male,Windows 7,50-100
20-24,<2,Czech Republic,,,,,Java,,,,PHP,,,,,Male,Mint,
20-24,<2,India,"<$20,000",,,,,,,,,,,SQL,,Male,Windows XP,6/15/2014
30-34,<2,United States,Rather not say,,C++,C#,Java,JavaScript,,Objective-C,,,,,,Prefer not to disclose,Windows 7,1/5/2014
25-29,2/5/2014,Italy,Student / Unemployed,C,,,,JavaScript,,,,,,,Dart,Male,Linux,
20-24,2/5/2014,United Kingdom,"$20,000 - $40,000",,,C#,Java,,,,,,,SQL,VB.net,Male,Windows 8,6/15/2014
25-29,2/5/2014,Germany,"$40,000 - $60,000",,,C#,,JavaScript,,,,,,,,Male,Windows 8,16-30
30-34,6/10/2014,United States,"$60,000 - $80,000",,,,,JavaScript,,,PHP,Python,Ruby,SQL,,Male,Mac OS X,100
20-24,2/5/2014,Austria,"$40,000 - $60,000",,,,Java,JavaScript,,,,,,SQL,,Male,Windows 7,50-100
20-24,<2,India,Rather not say,,,,,JavaScript,,,PHP,,,SQL,,Male,Ubuntu,100
35-39,11,United Kingdom,Rather not say,,,C#,,,,,,,,,,Male,Windows 7,50-100
51-60,11,Netherlands,"$80,000 - $100,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,50-100
< 20,2/5/2014,Romania,Student / Unemployed,,C++,C#,,JavaScript,,Objective-C,PHP,Python,,,"Visual Basic, Layla",Male,Windows XP,
20-24,2/5/2014,United States,Rather not say,,,,,,,,,Python,,SQL,,Male,Mac OS X,1/5/2014
25-29,<2,United States,"$20,000 - $40,000",,,C#,,JavaScript,,,PHP,,,SQL,,Male,Windows 7,50-100
20-24,<2,Spain,"$20,000 - $40,000",,,,,JavaScript,,,,Python,,,,Male,Mac OS X,31-50
20-24,<2,United States,"$20,000 - $40,000",,,,,,,,,,,SQL,,Female,Mac OS X,1/5/2014
20-24,6/10/2014,Slovenia,Student / Unemployed,C,C++,C#,Java,,,,,,,,,Male,Windows 8,
< 20,<2,United States,Student / Unemployed,,C++,,Java,,,,PHP,,,,,Male,Windows 7,
20-24,2/5/2014,Denmark,Student / Unemployed,,,,Java,,,,,Python,,,Haskell,Male,Linux,
25-29,<2,Austria,"<$20,000",C,,,,,,,PHP,Python,,,R,Male,Linux,1/5/2014
< 20,2/5/2014,India,Student / Unemployed,C,C++,,Java,JavaScript,,,PHP,Python,,SQL,,Male,Windows 7,
20-24,<2,India,Rather not say,,,,,JavaScript,,,PHP,,,,MySQL,Female,Ubuntu,31-50
20-24,<2,India,"<$20,000",,,,,JavaScript,Node.js,,PHP,Python,,,,Male,Windows 7,1/5/2014
20-24,<2,India,"<$20,000",C,C++,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,100
40-50,2/5/2014,New Zealand,Rather not say,,,C#,,JavaScript,,,,,,SQL,,Female,Windows 7,1/5/2014
40-50,11,United States,"$100,000 - $120,000",,,,,JavaScript,Node.js,,,,,,,Female,Windows 7,100
20-24,2/5/2014,Lithuania,"<$20,000",,,C#,,JavaScript,,,,,,SQL,,Male,Mac OS X,6/15/2014
30-34,6/10/2014,India,"<$20,000",,,,Java,JavaScript,,,,,,SQL,,Male,Windows 7,100
20-24,6/10/2014,United Kingdom,"$20,000 - $40,000",,,C#,,JavaScript,,,,,,,,Male,Windows 7,6/15/2014
20-24,2/5/2014,Indonesia,Student / Unemployed,,,C#,,,,,PHP,,,SQL,ASP.NET,Female,Windows 7,100
20-24,6/10/2014,United Kingdom,"$20,000 - $40,000",,C++,,Java,JavaScript,,,PHP,Python,,SQL,,Female,Windows 8,1/5/2014
25-29,6/10/2014,United States,"$60,000 - $80,000",,,C#,,,,,,,,,,Male,Windows 8,50-100
20-24,6/10/2014,Georgia,"$20,000 - $40,000",,,C#,,JavaScript,,,PHP,,,SQL,,Male,Windows 7,6/15/2014
35-39,11,United States,"$100,000 - $120,000",,,C#,,JavaScript,,,,,,SQL,Powershell,Male,Windows 7,16-30
20-24,2/5/2014,Canada,Rather not say,,C++,,,,,,,Python,,,,Male,Windows 7,1/5/2014
25-29,6/10/2014,France,,,C++,C#,Java,JavaScript,,Objective-C,PHP,,,SQL,F#,Male,Windows 7,100
20-24,<2,India,"<$20,000",C,,,,,,,,,,,,Male,Linux,100
25-29,<2,Canada,"$20,000 - $40,000",,,,Java,JavaScript,,,,,,,,Male,Windows 7,100
20-24,2/5/2014,Colombia,Rather not say,C,C++,C#,Java,JavaScript,Node.js,,PHP,,,SQL,,Male,Ubuntu,1/5/2014
25-29,2/5/2014,India,"<$20,000",,,,,JavaScript,,,PHP,,,SQL,,Male,Windows 8,6/15/2014
25-29,2/5/2014,Italy,"$20,000 - $40,000",,,,Java,JavaScript,Node.js,,,,,SQL,,Male,Linux,50-100
20-24,6/10/2014,United Kingdom,"$60,000 - $80,000",,,,Java,JavaScript,,,PHP,,,SQL,,Male,Windows 8,100
30-34,2/5/2014,United States,"$40,000 - $60,000",,,,,,,,,,,SQL,vb.net,Male,Windows 7,1/5/2014
25-29,6/10/2014,United States,"$40,000 - $60,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 8,100
20-24,2/5/2014,United Kingdom,Student / Unemployed,,,,Java,JavaScript,,Objective-C,,,,SQL,,Male,Mac OS X,1/5/2014
25-29,6/10/2014,Hungary,Rather not say,,,,Java,JavaScript,,,PHP,,,SQL,,Male,Windows 7,100
25-29,2/5/2014,Russia,"<$20,000",,,C#,,JavaScript,,,,,,,,Male,Windows 7,16-30
30-34,2/5/2014,Japan,"$60,000 - $80,000",,,,,JavaScript,Node.js,,,,,,,Male,Windows 7,100
25-29,2/5/2014,Malaysia,"<$20,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,1/5/2014
25-29,11,Germany,"$60,000 - $80,000",,,,Java,JavaScript,,,,,,,,Male,Windows 7,16-30
20-24,2/5/2014,India,"<$20,000",,,C#,,,,,,,,,,Male,Windows 7,6/15/2014
25-29,<2,Germany,"$20,000 - $40,000",,C++,,Java,JavaScript,,,PHP,,,SQL,Scala,Male,Mac OS X,16-30
25-29,<2,India,Rather not say,,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,100
20-24,6/10/2014,United Kingdom,Rather not say,,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,6/15/2014
25-29,2/5/2014,India,"<$20,000",,,,,JavaScript,,,PHP,,,SQL,,Male,Windows 7,50-100
20-24,2/5/2014,Portugal,"<$20,000",,,,,JavaScript,Node.js,,PHP,,Ruby,SQL,Actionscript,Male,Linux,16-30
30-34,11,United Kingdom,"$100,000 - $120,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,6/15/2014
40-50,11,Canada,"$60,000 - $80,000",,,,Java,,,,,,,SQL,plsql,Male,Windows 7,31-50
35-39,2/5/2014,Ireland,Rather not say,,,,,,,,,Python,,,,Male,Windows 7,100
30-34,6/10/2014,Puerto Rico,"$40,000 - $60,000",,,,,,,,,,,,,Male,Mac OS X,50-100
25-29,2/5/2014,Italy,"<$20,000",,,C#,,,,,,,Ruby,,Visual Basic,Male,Mac OS X,1/5/2014
30-34,2/5/2014,Hungary,"<$20,000",,,,,JavaScript,Node.js,Objective-C,,,,,,Male,Mac OS X,31-50
30-34,11,Romania,Rather not say,,,C#,,JavaScript,,Objective-C,PHP,,,SQL,,Male,Mac OS X,100
20-24,2/5/2014,Russia,"$20,000 - $40,000",C,,,,,,,PHP,Python,,,,Male,Linux,16-30
20-24,<2,Germany,Student / Unemployed,C,C++,,Java,,,,,,,,,Male,Windows 7,
< 20,<2,Netherlands,Student / Unemployed,,C++,C#,Java,JavaScript,,,PHP,,,SQL,,Male,Windows 7,1/5/2014
20-24,<2,India,Student / Unemployed,C,,,Java,JavaScript,,,,Python,,,,Male,Linux,100
< 20,2/5/2014,United Kingdom,Student / Unemployed,,,,,,,,,,,,VB.Net,Male,Windows 7,
30-34,11,Australia,Rather not say,,,,,JavaScript,,,PHP,,,SQL,,Male,Windows 7,6/15/2014
25-29,6/10/2014,Pakistan,"<$20,000",,,C#,Java,JavaScript,,,,,,,,Male,Windows 7,100
40-50,11,United States,">$140,000",,,,Java,JavaScript,Node.js,,,,,,,Male,Windows 7,100
30-34,6/10/2014,India,Rather not say,,,,Java,,,,,,,SQL,,Male,Windows 7,100
20-24,<2,India,"<$20,000",,,,,JavaScript,,,PHP,,,,,Male,Ubuntu,50-100
20-24,<2,India,"<$20,000",,,,,JavaScript,,,PHP,,,SQL,,Male,Windows 7,31-50
25-29,2/5/2014,South Korea,"$20,000 - $40,000",,,,Java,JavaScript,Node.js,,,,,SQL,,Male,Windows 7,100
25-29,2/5/2014,Pakistan,Rather not say,C,C++,,,JavaScript,,,PHP,,,SQL,,Male,Windows 8,6/15/2014
25-29,6/10/2014,Spain,"$20,000 - $40,000",,,C#,Java,JavaScript,,,,,,SQL,,Male,Windows 7,50-100
40-50,11,United Kingdom,Rather not say,,,,,,,,,Python,,,bash,Male,Fedora,100
40-50,11,United States,"$100,000 - $120,000",,,C#,,,,,,,,SQL,,Female,Windows 7,31-50
25-29,2/5/2014,Spain,"$40,000 - $60,000",,,C#,,,,,,,,SQL,VB.NET,Male,Windows XP,16-30
25-29,6/10/2014,India,,,,,Java,,,,,,,SQL,,Female,Windows 7,100
40-50,11,United States,"$80,000 - $100,000",,,,Java,,,,,,,SQL,,Male,Mac OS X,1/5/2014
30-34,6/10/2014,United States,"$100,000 - $120,000",,,,Java,,,,,,,,,Male,Mac OS X,50-100
< 20,<2,Italy,Student / Unemployed,,,,Java,,,,,Python,,,,Male,Mac OS X,1/5/2014
20-24,<2,India,Rather not say,,,,Java,JavaScript,,,,,,SQL,,Male,Windows 7,6/15/2014
20-24,2/5/2014,India,"<$20,000",C,,,,,,,,,,,,Male,Windows 8,100
20-24,6/10/2014,Netherlands,Student / Unemployed,,,C#,,JavaScript,,,,,,,,Male,Windows 8,16-30
20-24,2/5/2014,Greece,Student / Unemployed,C,C++,,Java,JavaScript,,,PHP,,,SQL,,Female,Windows 8,
20-24,<2,Poland,Student / Unemployed,,,,Java,,,,,,,,,Male,Windows 8,
< 20,2/5/2014,United States,Student / Unemployed,C,C++,,,JavaScript,,Objective-C,PHP,,,SQL,x86 Assembly,Male,Mac OS X,1/5/2014
20-24,6/10/2014,Germany,Student / Unemployed,C,C++,,Java,JavaScript,,,,Python,Ruby,,,Male,Linux,100
20-24,2/5/2014,Bosnia and Herzegovina,Student / Unemployed,C,C++,C#,,,,,,,,,,Female,Windows XP,6/15/2014
20-24,<2,United Kingdom,"$20,000 - $40,000",,,C#,,,,,,,,,,Male,Windows 8,1/5/2014
< 20,2/5/2014,United Kingdom,Rather not say,,,,,JavaScript,,,PHP,,,SQL,,Male,Windows 7,6/15/2014
25-29,2/5/2014,Poland,"<$20,000",,,,,JavaScript,,,,Python,,SQL,,Male,Windows 8,6/15/2014
30-34,6/10/2014,Greece,"$20,000 - $40,000",,,C#,Java,JavaScript,,,,,Ruby,SQL,,Male,Windows 7,16-30
20-24,<2,India,Rather not say,,,,,,,,,,,SQL,,Male,Windows 7,100
30-34,11,Greece,"$20,000 - $40,000",,,,,JavaScript,,,PHP,,,SQL,,Male,Windows 7,50-100
25-29,6/10/2014,United States,"$20,000 - $40,000",,,,,JavaScript,,,PHP,,,SQL,,Male,Windows 7,1/5/2014
25-29,6/10/2014,United States,"$80,000 - $100,000",C,,,Java,JavaScript,,,PHP,Python,Ruby,SQL,,Male,Ubuntu,100
40-50,11,Ireland,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,,,Male,Windows 7,100
51-60,11,United States,"$100,000 - $120,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,31-50
